Category: All categories

Week,crime: (St. Louis MO)
2012-12-16,74
2012-12-23,55
2012-12-30,53
2013-01-06,67
2013-01-13,61
2013-01-20,68
2013-01-27,61
2013-02-03,60
2013-02-10,59
2013-02-17,51
2013-02-24,60
2013-03-03,63
2013-03-10,51
2013-03-17,61
2013-03-24,49
2013-03-31,60
2013-04-07,58
2013-04-14,59
2013-04-21,60
2013-04-28,64
2013-05-05,61
2013-05-12,57
2013-05-19,49
2013-05-26,42
2013-06-02,48
2013-06-09,55
2013-06-16,54
2013-06-23,56
2013-06-30,55
2013-07-07,62
2013-07-14,62
2013-07-21,53
2013-07-28,55
2013-08-04,50
2013-08-11,55
2013-08-18,52
2013-08-25,53
2013-09-01,58
2013-09-08,51
2013-09-15,48
2013-09-22,52
2013-09-29,55
2013-10-06,55
2013-10-13,50
2013-10-20,41
2013-10-27,53
2013-11-03,62
2013-11-10,56
2013-11-17,48
2013-11-24,49
2013-12-01,47
2013-12-08,49
2013-12-15,45
2013-12-22,37
2013-12-29,46
2014-01-05,45
2014-01-12,54
2014-01-19,59
2014-01-26,68
2014-02-02,60
2014-02-09,49
2014-02-16,61
2014-02-23,51
2014-03-02,53
2014-03-09,54
2014-03-16,59
2014-03-23,55
2014-03-30,51
2014-04-06,58
2014-04-13,54
2014-04-20,61
2014-04-27,55
2014-05-04,62
2014-05-11,62
2014-05-18,62
2014-05-25,46
2014-06-01,49
2014-06-08,50
2014-06-15,41
2014-06-22,51
2014-06-29,52
2014-07-06,61
2014-07-13,56
2014-07-20,52
2014-07-27,56
2014-08-03,56
2014-08-10,100
2014-08-17,80
2014-08-24,68
2014-08-31,70
2014-09-07,60
2014-09-14,52
2014-09-21,64
2014-09-28,62
2014-10-05,70
2014-10-12,57
2014-10-19,55
2014-10-26,62
2014-11-02,60
2014-11-09,48
2014-11-16,69
2014-11-23,78
2014-11-30,63
2014-12-07,69
2014-12-14,56
2014-12-21,49
2014-12-28,54
2015-01-04,61
2015-01-11,75
2015-01-18,70
2015-01-25,75
2015-02-01,64
2015-02-08,51
2015-02-15,57
2015-02-22,56
2015-03-01,86
2015-03-08,80
2015-03-15,61
2015-03-22,81
2015-03-29,79
2015-04-05,70
2015-04-12,68
2015-04-19,74
2015-04-26,78
2015-05-03,66
2015-05-10,59
2015-05-17,52
2015-05-24,59
2015-05-31,56
2015-06-07,52
2015-06-14,66
2015-06-21,62
2015-06-28,65
2015-07-05,51
2015-07-12,65
2015-07-19,64
2015-07-26,63
2015-08-02,57
2015-08-09,62
2015-08-16,66
2015-08-23,59
2015-08-30,77
2015-09-06,62
2015-09-13,60
2015-09-20,53
2015-09-27,74
2015-10-04,71
2015-10-11,56
2015-10-18,58
2015-10-25,60
2015-11-01,56
2015-11-08,72
2015-11-15,60
2015-11-22,57
2015-11-29,66
2015-12-06,62
2015-12-13,55
2015-12-20,55
2015-12-27,52
2016-01-03,71
2016-01-10,60
2016-01-17,68
2016-01-24,83
2016-01-31,76
2016-02-07,77
2016-02-14,71
2016-02-21,78
2016-02-28,76
2016-03-06,86
2016-03-13,72
2016-03-20,66
2016-03-27,65
2016-04-03,73
2016-04-10,58
2016-04-17,79
2016-04-24,57
2016-05-01,61
2016-05-08,68
2016-05-15,53
2016-05-22,63
2016-05-29,56
2016-06-05,64
2016-06-12,64
2016-06-19,64
2016-06-26,73
2016-07-03,67
2016-07-10,71
2016-07-17,62
2016-07-24,70
2016-07-31,70
2016-08-07,56
2016-08-14,53
2016-08-21,71
2016-08-28,72
2016-09-04,78
2016-09-11,68
2016-09-18,66
2016-09-25,87
2016-10-02,74
2016-10-09,65
2016-10-16,68
2016-10-23,62
2016-10-30,61
2016-11-06,66
2016-11-13,77
2016-11-20,61
2016-11-27,56
2016-12-04,60
2016-12-11,68
2016-12-18,47
2016-12-25,49
2017-01-01,86
2017-01-08,63
2017-01-15,58
2017-01-22,80
2017-01-29,73
2017-02-05,75
2017-02-12,83
2017-02-19,73
2017-02-26,68
2017-03-05,80
2017-03-12,70
2017-03-19,67
2017-03-26,69
2017-04-02,64
2017-04-09,57
2017-04-16,60
2017-04-23,75
2017-04-30,60
2017-05-07,67
2017-05-14,65
2017-05-21,67
2017-05-28,55
2017-06-04,57
2017-06-11,69
2017-06-18,63
2017-06-25,68
2017-07-02,68
2017-07-09,64
2017-07-16,66
2017-07-23,65
2017-07-30,69
2017-08-06,65
2017-08-13,58
2017-08-20,61
2017-08-27,67
2017-09-03,63
2017-09-10,76
2017-09-17,75
2017-09-24,81
2017-10-01,87
2017-10-08,71
2017-10-15,67
2017-10-22,68
2017-10-29,63
2017-11-05,63
2017-11-12,71
2017-11-19,68
2017-11-26,61
2017-12-03,71
2017-12-10,59
