Category: All categories

Week,die: (St. Louis MO)
2012-12-16,49
2012-12-23,50
2012-12-30,49
2013-01-06,49
2013-01-13,55
2013-01-20,54
2013-01-27,59
2013-02-03,55
2013-02-10,61
2013-02-17,53
2013-02-24,50
2013-03-03,53
2013-03-10,49
2013-03-17,48
2013-03-24,47
2013-03-31,59
2013-04-07,46
2013-04-14,46
2013-04-21,46
2013-04-28,44
2013-05-05,46
2013-05-12,42
2013-05-19,46
2013-05-26,38
2013-06-02,48
2013-06-09,46
2013-06-16,48
2013-06-23,51
2013-06-30,48
2013-07-07,50
2013-07-14,54
2013-07-21,47
2013-07-28,54
2013-08-04,41
2013-08-11,44
2013-08-18,45
2013-08-25,45
2013-09-01,41
2013-09-08,44
2013-09-15,40
2013-09-22,40
2013-09-29,44
2013-10-06,47
2013-10-13,43
2013-10-20,46
2013-10-27,43
2013-11-03,42
2013-11-10,46
2013-11-17,47
2013-11-24,51
2013-12-01,72
2013-12-08,45
2013-12-15,46
2013-12-22,48
2013-12-29,46
2014-01-05,52
2014-01-12,41
2014-01-19,48
2014-01-26,53
2014-02-02,48
2014-02-09,49
2014-02-16,44
2014-02-23,51
2014-03-02,43
2014-03-09,49
2014-03-16,54
2014-03-23,45
2014-03-30,50
2014-04-06,54
2014-04-13,54
2014-04-20,45
2014-04-27,49
2014-05-04,52
2014-05-11,48
2014-05-18,53
2014-05-25,58
2014-06-01,56
2014-06-08,52
2014-06-15,53
2014-06-22,46
2014-06-29,49
2014-07-06,42
2014-07-13,41
2014-07-20,41
2014-07-27,42
2014-08-03,37
2014-08-10,59
2014-08-17,47
2014-08-24,46
2014-08-31,57
2014-09-07,47
2014-09-14,48
2014-09-21,44
2014-09-28,45
2014-10-05,53
2014-10-12,53
2014-10-19,53
2014-10-26,57
2014-11-02,57
2014-11-09,59
2014-11-16,52
2014-11-23,47
2014-11-30,53
2014-12-07,51
2014-12-14,49
2014-12-21,58
2014-12-28,60
2015-01-04,56
2015-01-11,56
2015-01-18,61
2015-01-25,54
2015-02-01,52
2015-02-08,60
2015-02-15,59
2015-02-22,52
2015-03-01,51
2015-03-08,49
2015-03-15,50
2015-03-22,54
2015-03-29,47
2015-04-05,56
2015-04-12,60
2015-04-19,49
2015-04-26,48
2015-05-03,51
2015-05-10,52
2015-05-17,55
2015-05-24,47
2015-05-31,47
2015-06-07,47
2015-06-14,54
2015-06-21,43
2015-06-28,47
2015-07-05,48
2015-07-12,49
2015-07-19,49
2015-07-26,50
2015-08-02,46
2015-08-09,45
2015-08-16,42
2015-08-23,48
2015-08-30,46
2015-09-06,50
2015-09-13,49
2015-09-20,48
2015-09-27,46
2015-10-04,47
2015-10-11,49
2015-10-18,55
2015-10-25,60
2015-11-01,55
2015-11-08,51
2015-11-15,53
2015-11-22,55
2015-11-29,54
2015-12-06,51
2015-12-13,55
2015-12-20,55
2015-12-27,57
2016-01-03,53
2016-01-10,64
2016-01-17,60
2016-01-24,54
2016-01-31,55
2016-02-07,53
2016-02-14,61
2016-02-21,52
2016-02-28,50
2016-03-06,60
2016-03-13,49
2016-03-20,53
2016-03-27,61
2016-04-03,64
2016-04-10,52
2016-04-17,100
2016-04-24,67
2016-05-01,60
2016-05-08,47
2016-05-15,53
2016-05-22,53
2016-05-29,58
2016-06-05,55
2016-06-12,52
2016-06-19,49
2016-06-26,56
2016-07-03,55
2016-07-10,48
2016-07-17,46
2016-07-24,49
2016-07-31,45
2016-08-07,51
2016-08-14,43
2016-08-21,48
2016-08-28,50
2016-09-04,48
2016-09-11,54
2016-09-18,51
2016-09-25,60
2016-10-02,52
2016-10-09,57
2016-10-16,49
2016-10-23,55
2016-10-30,51
2016-11-06,49
2016-11-13,55
2016-11-20,54
2016-11-27,52
2016-12-04,59
2016-12-11,64
2016-12-18,56
2016-12-25,82
2017-01-01,62
2017-01-08,59
2017-01-15,59
2017-01-22,62
2017-01-29,51
2017-02-05,60
2017-02-12,61
2017-02-19,56
2017-02-26,59
2017-03-05,54
2017-03-12,51
2017-03-19,58
2017-03-26,48
2017-04-02,51
2017-04-09,60
2017-04-16,55
2017-04-23,53
2017-04-30,51
2017-05-07,61
2017-05-14,56
2017-05-21,49
2017-05-28,46
2017-06-04,42
2017-06-11,44
2017-06-18,50
2017-06-25,55
2017-07-02,49
2017-07-09,50
2017-07-16,53
2017-07-23,50
2017-07-30,51
2017-08-06,50
2017-08-13,54
2017-08-20,48
2017-08-27,46
2017-09-03,51
2017-09-10,50
2017-09-17,45
2017-09-24,60
2017-10-01,66
2017-10-08,54
2017-10-15,53
2017-10-22,57
2017-10-29,55
2017-11-05,57
2017-11-12,60
2017-11-19,57
2017-11-26,58
2017-12-03,57
