Category: All categories

Week,gunshot: (St. Louis MO)
2012-12-16,39
2012-12-23,31
2012-12-30,0
2013-01-06,61
2013-01-13,48
2013-01-20,38
2013-01-27,24
2013-02-03,24
2013-02-10,44
2013-02-17,38
2013-02-24,54
2013-03-03,29
2013-03-10,48
2013-03-17,41
2013-03-24,0
2013-03-31,21
2013-04-07,40
2013-04-14,30
2013-04-21,31
2013-04-28,20
2013-05-05,41
2013-05-12,42
2013-05-19,52
2013-05-26,41
2013-06-02,49
2013-06-09,21
2013-06-16,0
2013-06-23,22
2013-06-30,42
2013-07-07,58
2013-07-14,37
2013-07-21,48
2013-07-28,19
2013-08-04,37
2013-08-11,57
2013-08-18,38
2013-08-25,19
2013-09-01,0
2013-09-08,20
2013-09-15,20
2013-09-22,43
2013-09-29,0
2013-10-06,60
2013-10-13,40
2013-10-20,20
2013-10-27,38
2013-11-03,39
2013-11-10,29
2013-11-17,56
2013-11-24,0
2013-12-01,26
2013-12-08,34
2013-12-15,45
2013-12-22,22
2013-12-29,30
2014-01-05,76
2014-01-12,29
2014-01-19,18
2014-01-26,18
2014-02-02,38
2014-02-09,35
2014-02-16,47
2014-02-23,46
2014-03-02,36
2014-03-09,0
2014-03-16,39
2014-03-23,57
2014-03-30,46
2014-04-06,19
2014-04-13,28
2014-04-20,58
2014-04-27,19
2014-05-04,43
2014-05-11,56
2014-05-18,24
2014-05-25,52
2014-06-01,45
2014-06-08,81
2014-06-15,30
2014-06-22,30
2014-06-29,33
2014-07-06,21
2014-07-13,23
2014-07-20,57
2014-07-27,71
2014-08-03,36
2014-08-10,77
2014-08-17,66
2014-08-24,43
2014-08-31,21
2014-09-07,31
2014-09-14,21
2014-09-21,55
2014-09-28,21
2014-10-05,43
2014-10-12,42
2014-10-19,34
2014-10-26,86
2014-11-02,0
2014-11-09,48
2014-11-16,48
2014-11-23,51
2014-11-30,47
2014-12-07,59
2014-12-14,50
2014-12-21,57
2014-12-28,80
2015-01-04,24
2015-01-11,47
2015-01-18,48
2015-01-25,47
2015-02-01,0
2015-02-08,58
2015-02-15,23
2015-02-22,47
2015-03-01,0
2015-03-08,61
2015-03-15,50
2015-03-22,53
2015-03-29,37
2015-04-05,61
2015-04-12,61
2015-04-19,37
2015-04-26,76
2015-05-03,62
2015-05-10,38
2015-05-17,65
2015-05-24,40
2015-05-31,26
2015-06-07,52
2015-06-14,100
2015-06-21,53
2015-06-28,28
2015-07-05,27
2015-07-12,54
2015-07-19,55
2015-07-26,27
2015-08-02,0
2015-08-09,27
2015-08-16,26
2015-08-23,51
2015-08-30,49
2015-09-06,78
2015-09-13,25
2015-09-20,38
2015-09-27,37
2015-10-04,99
2015-10-11,24
2015-10-18,24
2015-10-25,70
2015-11-01,35
2015-11-08,24
2015-11-15,24
2015-11-22,26
2015-11-29,23
2015-12-06,58
2015-12-13,47
2015-12-20,28
2015-12-27,52
2016-01-03,22
2016-01-10,31
2016-01-17,21
2016-01-24,85
2016-01-31,21
2016-02-07,20
2016-02-14,31
2016-02-21,41
2016-02-28,39
2016-03-06,58
2016-03-13,30
2016-03-20,74
2016-03-27,71
2016-04-03,60
2016-04-10,31
2016-04-17,61
2016-04-24,30
2016-05-01,41
2016-05-08,41
2016-05-15,42
2016-05-22,86
2016-05-29,44
2016-06-05,33
2016-06-12,65
2016-06-19,43
2016-06-26,33
2016-07-03,56
2016-07-10,22
2016-07-17,22
2016-07-24,32
2016-07-31,33
2016-08-07,57
2016-08-14,23
2016-08-21,33
2016-08-28,31
2016-09-04,32
2016-09-11,21
2016-09-18,21
2016-09-25,0
2016-10-02,41
2016-10-09,41
2016-10-16,62
2016-10-23,21
2016-10-30,21
2016-11-06,19
2016-11-13,41
2016-11-20,31
2016-11-27,19
2016-12-04,19
2016-12-11,38
2016-12-18,41
2016-12-25,32
2017-01-01,40
2017-01-08,19
2017-01-15,38
2017-01-22,66
2017-01-29,19
2017-02-05,19
2017-02-12,28
2017-02-19,47
2017-02-26,18
2017-03-05,18
2017-03-12,28
2017-03-19,38
2017-03-26,65
2017-04-02,28
2017-04-09,29
2017-04-16,57
2017-04-23,28
2017-04-30,37
2017-05-07,19
2017-05-14,62
2017-05-21,32
2017-05-28,54
2017-06-04,21
2017-06-11,41
2017-06-18,20
2017-06-25,21
2017-07-02,78
2017-07-09,62
2017-07-16,42
2017-07-23,41
2017-07-30,20
2017-08-06,20
2017-08-13,20
2017-08-20,48
2017-08-27,19
2017-09-03,19
2017-09-10,28
2017-09-17,37
2017-09-24,29
2017-10-01,56
2017-10-08,75
2017-10-15,48
2017-10-22,29
2017-10-29,19
2017-11-05,19
2017-11-12,35
2017-11-19,19
2017-11-26,36
2017-12-03,45
2017-12-10,0
