Category: All categories

Week,law: (St. Louis MO)
2012-12-16,68
2012-12-23,53
2012-12-30,66
2013-01-06,80
2013-01-13,89
2013-01-20,75
2013-01-27,85
2013-02-03,75
2013-02-10,81
2013-02-17,71
2013-02-24,77
2013-03-03,79
2013-03-10,73
2013-03-17,75
2013-03-24,82
2013-03-31,75
2013-04-07,74
2013-04-14,77
2013-04-21,79
2013-04-28,72
2013-05-05,70
2013-05-12,73
2013-05-19,72
2013-05-26,67
2013-06-02,69
2013-06-09,60
2013-06-16,64
2013-06-23,64
2013-06-30,67
2013-07-07,69
2013-07-14,75
2013-07-21,73
2013-07-28,66
2013-08-04,66
2013-08-11,68
2013-08-18,77
2013-08-25,76
2013-09-01,76
2013-09-08,74
2013-09-15,77
2013-09-22,83
2013-09-29,80
2013-10-06,75
2013-10-13,77
2013-10-20,76
2013-10-27,69
2013-11-03,79
2013-11-10,76
2013-11-17,80
2013-11-24,55
2013-12-01,69
2013-12-08,66
2013-12-15,68
2013-12-22,51
2013-12-29,66
2014-01-05,75
2014-01-12,81
2014-01-19,72
2014-01-26,71
2014-02-02,70
2014-02-09,77
2014-02-16,73
2014-02-23,81
2014-03-02,73
2014-03-09,73
2014-03-16,75
2014-03-23,76
2014-03-30,71
2014-04-06,78
2014-04-13,73
2014-04-20,72
2014-04-27,75
2014-05-04,73
2014-05-11,68
2014-05-18,75
2014-05-25,65
2014-06-01,71
2014-06-08,64
2014-06-15,64
2014-06-22,62
2014-06-29,66
2014-07-06,71
2014-07-13,70
2014-07-20,65
2014-07-27,69
2014-08-03,72
2014-08-10,91
2014-08-17,89
2014-08-24,76
2014-08-31,74
2014-09-07,82
2014-09-14,72
2014-09-21,77
2014-09-28,75
2014-10-05,80
2014-10-12,77
2014-10-19,76
2014-10-26,79
2014-11-02,76
2014-11-09,74
2014-11-16,80
2014-11-23,73
2014-11-30,84
2014-12-07,80
2014-12-14,78
2014-12-21,47
2014-12-28,61
2015-01-04,76
2015-01-11,79
2015-01-18,75
2015-01-25,82
2015-02-01,74
2015-02-08,81
2015-02-15,76
2015-02-22,85
2015-03-01,78
2015-03-08,80
2015-03-15,78
2015-03-22,83
2015-03-29,93
2015-04-05,79
2015-04-12,76
2015-04-19,82
2015-04-26,89
2015-05-03,82
2015-05-10,76
2015-05-17,75
2015-05-24,63
2015-05-31,71
2015-06-07,66
2015-06-14,66
2015-06-21,73
2015-06-28,75
2015-07-05,68
2015-07-12,70
2015-07-19,67
2015-07-26,71
2015-08-02,67
2015-08-09,72
2015-08-16,75
2015-08-23,80
2015-08-30,86
2015-09-06,80
2015-09-13,74
2015-09-20,87
2015-09-27,79
2015-10-04,77
2015-10-11,80
2015-10-18,82
2015-10-25,77
2015-11-01,85
2015-11-08,77
2015-11-15,84
2015-11-22,63
2015-11-29,76
2015-12-06,80
2015-12-13,75
2015-12-20,51
2015-12-27,62
2016-01-03,81
2016-01-10,77
2016-01-17,76
2016-01-24,86
2016-01-31,88
2016-02-07,88
2016-02-14,84
2016-02-21,85
2016-02-28,80
2016-03-06,82
2016-03-13,83
2016-03-20,78
2016-03-27,88
2016-04-03,86
2016-04-10,85
2016-04-17,88
2016-04-24,88
2016-05-01,84
2016-05-08,84
2016-05-15,85
2016-05-22,70
2016-05-29,72
2016-06-05,73
2016-06-12,72
2016-06-19,73
2016-06-26,67
2016-07-03,71
2016-07-10,83
2016-07-17,77
2016-07-24,69
2016-07-31,68
2016-08-07,62
2016-08-14,66
2016-08-21,74
2016-08-28,82
2016-09-04,75
2016-09-11,90
2016-09-18,84
2016-09-25,89
2016-10-02,84
2016-10-09,82
2016-10-16,81
2016-10-23,80
2016-10-30,83
2016-11-06,80
2016-11-13,87
2016-11-20,70
2016-11-27,83
2016-12-04,83
2016-12-11,84
2016-12-18,61
2016-12-25,60
2017-01-01,84
2017-01-08,76
2017-01-15,85
2017-01-22,99
2017-01-29,100
2017-02-05,89
2017-02-12,90
2017-02-19,80
2017-02-26,85
2017-03-05,85
2017-03-12,74
2017-03-19,82
2017-03-26,85
2017-04-02,72
2017-04-09,76
2017-04-16,79
2017-04-23,83
2017-04-30,82
2017-05-07,75
2017-05-14,77
2017-05-21,66
2017-05-28,59
2017-06-04,66
2017-06-11,66
2017-06-18,66
2017-06-25,66
2017-07-02,62
2017-07-09,70
2017-07-16,60
2017-07-23,67
2017-07-30,67
2017-08-06,57
2017-08-13,75
2017-08-20,68
2017-08-27,78
2017-09-03,73
2017-09-10,74
2017-09-17,76
2017-09-24,86
2017-10-01,80
2017-10-08,78
2017-10-15,80
2017-10-22,75
2017-10-29,78
2017-11-05,77
2017-11-12,77
2017-11-19,64
2017-11-26,73
2017-12-03,81
2017-12-10,52
