Category: All categories

Week,murder: (St. Louis MO)
2012-12-16,39
2012-12-23,32
2012-12-30,31
2013-01-06,50
2013-01-13,33
2013-01-20,46
2013-01-27,37
2013-02-03,57
2013-02-10,42
2013-02-17,48
2013-02-24,40
2013-03-03,43
2013-03-10,31
2013-03-17,37
2013-03-24,39
2013-03-31,41
2013-04-07,41
2013-04-14,32
2013-04-21,35
2013-04-28,39
2013-05-05,35
2013-05-12,48
2013-05-19,37
2013-05-26,31
2013-06-02,28
2013-06-09,45
2013-06-16,39
2013-06-23,63
2013-06-30,45
2013-07-07,45
2013-07-14,51
2013-07-21,48
2013-07-28,41
2013-08-04,40
2013-08-11,44
2013-08-18,37
2013-08-25,36
2013-09-01,39
2013-09-08,42
2013-09-15,27
2013-09-22,32
2013-09-29,37
2013-10-06,40
2013-10-13,32
2013-10-20,35
2013-10-27,39
2013-11-03,37
2013-11-10,33
2013-11-17,44
2013-11-24,32
2013-12-01,43
2013-12-08,37
2013-12-15,33
2013-12-22,41
2013-12-29,32
2014-01-05,40
2014-01-12,41
2014-01-19,41
2014-01-26,37
2014-02-02,35
2014-02-09,50
2014-02-16,55
2014-02-23,38
2014-03-02,34
2014-03-09,46
2014-03-16,43
2014-03-23,37
2014-03-30,37
2014-04-06,34
2014-04-13,36
2014-04-20,36
2014-04-27,40
2014-05-04,35
2014-05-11,37
2014-05-18,49
2014-05-25,45
2014-06-01,36
2014-06-08,45
2014-06-15,41
2014-06-22,47
2014-06-29,49
2014-07-06,43
2014-07-13,48
2014-07-20,49
2014-07-27,44
2014-08-03,40
2014-08-10,51
2014-08-17,44
2014-08-24,44
2014-08-31,46
2014-09-07,47
2014-09-14,47
2014-09-21,66
2014-09-28,55
2014-10-05,53
2014-10-12,52
2014-10-19,58
2014-10-26,53
2014-11-02,58
2014-11-09,48
2014-11-16,55
2014-11-23,50
2014-11-30,55
2014-12-07,55
2014-12-14,44
2014-12-21,50
2014-12-28,55
2015-01-04,46
2015-01-11,65
2015-01-18,57
2015-01-25,47
2015-02-01,48
2015-02-08,49
2015-02-15,50
2015-02-22,61
2015-03-01,45
2015-03-08,44
2015-03-15,49
2015-03-22,49
2015-03-29,38
2015-04-05,51
2015-04-12,46
2015-04-19,46
2015-04-26,44
2015-05-03,55
2015-05-10,37
2015-05-17,55
2015-05-24,47
2015-05-31,47
2015-06-07,44
2015-06-14,48
2015-06-21,56
2015-06-28,42
2015-07-05,50
2015-07-12,42
2015-07-19,52
2015-07-26,44
2015-08-02,40
2015-08-09,47
2015-08-16,44
2015-08-23,62
2015-08-30,50
2015-09-06,42
2015-09-13,48
2015-09-20,53
2015-09-27,59
2015-10-04,56
2015-10-11,51
2015-10-18,54
2015-10-25,40
2015-11-01,53
2015-11-08,52
2015-11-15,47
2015-11-22,50
2015-11-29,56
2015-12-06,50
2015-12-13,49
2015-12-20,42
2015-12-27,53
2016-01-03,63
2016-01-10,60
2016-01-17,55
2016-01-24,53
2016-01-31,57
2016-02-07,49
2016-02-14,51
2016-02-21,51
2016-02-28,55
2016-03-06,52
2016-03-13,60
2016-03-20,44
2016-03-27,45
2016-04-03,45
2016-04-10,39
2016-04-17,50
2016-04-24,51
2016-05-01,39
2016-05-08,36
2016-05-15,47
2016-05-22,55
2016-05-29,47
2016-06-05,49
2016-06-12,54
2016-06-19,54
2016-06-26,53
2016-07-03,49
2016-07-10,50
2016-07-17,50
2016-07-24,41
2016-07-31,70
2016-08-07,45
2016-08-14,57
2016-08-21,42
2016-08-28,50
2016-09-04,53
2016-09-11,47
2016-09-18,57
2016-09-25,53
2016-10-02,58
2016-10-09,50
2016-10-16,51
2016-10-23,47
2016-10-30,50
2016-11-06,49
2016-11-13,51
2016-11-20,41
2016-11-27,44
2016-12-04,43
2016-12-11,47
2016-12-18,41
2016-12-25,47
2017-01-01,45
2017-01-08,46
2017-01-15,49
2017-01-22,55
2017-01-29,53
2017-02-05,55
2017-02-12,56
2017-02-19,48
2017-02-26,44
2017-03-05,42
2017-03-12,43
2017-03-19,38
2017-03-26,44
2017-04-02,34
2017-04-09,47
2017-04-16,64
2017-04-23,47
2017-04-30,41
2017-05-07,42
2017-05-14,42
2017-05-21,50
2017-05-28,49
2017-06-04,44
2017-06-11,41
2017-06-18,39
2017-06-25,46
2017-07-02,44
2017-07-09,48
2017-07-16,49
2017-07-23,56
2017-07-30,55
2017-08-06,42
2017-08-13,46
2017-08-20,42
2017-08-27,40
2017-09-03,47
2017-09-10,65
2017-09-17,49
2017-09-24,55
2017-10-01,47
2017-10-08,48
2017-10-15,60
2017-10-22,59
2017-10-29,52
2017-11-05,99
2017-11-12,98
2017-11-19,100
2017-11-26,77
2017-12-03,69
