Category: All categories

Week,negligence: (St. Louis MO)
2012-12-16,21
2012-12-23,24
2012-12-30,22
2013-01-06,39
2013-01-13,0
2013-01-20,20
2013-01-27,39
2013-02-03,38
2013-02-10,35
2013-02-17,15
2013-02-24,15
2013-03-03,76
2013-03-10,16
2013-03-17,16
2013-03-24,18
2013-03-31,25
2013-04-07,24
2013-04-14,16
2013-04-21,16
2013-04-28,16
2013-05-05,33
2013-05-12,0
2013-05-19,16
2013-05-26,33
2013-06-02,16
2013-06-09,67
2013-06-16,34
2013-06-23,17
2013-06-30,25
2013-07-07,23
2013-07-14,44
2013-07-21,23
2013-07-28,15
2013-08-04,29
2013-08-11,15
2013-08-18,15
2013-08-25,15
2013-09-01,17
2013-09-08,48
2013-09-15,24
2013-09-22,34
2013-09-29,26
2013-10-06,16
2013-10-13,47
2013-10-20,24
2013-10-27,15
2013-11-03,15
2013-11-10,31
2013-11-17,30
2013-11-24,46
2013-12-01,34
2013-12-08,0
2013-12-15,14
2013-12-22,18
2013-12-29,0
2014-01-05,0
2014-01-12,23
2014-01-19,29
2014-01-26,14
2014-02-02,23
2014-02-09,42
2014-02-16,15
2014-02-23,0
2014-03-02,43
2014-03-09,23
2014-03-16,24
2014-03-23,15
2014-03-30,36
2014-04-06,22
2014-04-13,22
2014-04-20,23
2014-04-27,23
2014-05-04,25
2014-05-11,27
2014-05-18,20
2014-05-25,21
2014-06-01,0
2014-06-08,32
2014-06-15,0
2014-06-22,16
2014-06-29,35
2014-07-06,34
2014-07-13,36
2014-07-20,45
2014-07-27,0
2014-08-03,19
2014-08-10,35
2014-08-17,35
2014-08-24,42
2014-08-31,42
2014-09-07,33
2014-09-14,25
2014-09-21,26
2014-09-28,50
2014-10-05,34
2014-10-12,17
2014-10-19,36
2014-10-26,49
2014-11-02,19
2014-11-09,19
2014-11-16,0
2014-11-23,30
2014-11-30,28
2014-12-07,19
2014-12-14,20
2014-12-21,67
2014-12-28,21
2015-01-04,28
2015-01-11,56
2015-01-18,28
2015-01-25,37
2015-02-01,27
2015-02-08,28
2015-02-15,37
2015-02-22,18
2015-03-01,46
2015-03-08,19
2015-03-15,39
2015-03-22,43
2015-03-29,20
2015-04-05,49
2015-04-12,19
2015-04-19,39
2015-04-26,20
2015-05-03,20
2015-05-10,40
2015-05-17,31
2015-05-24,21
2015-05-31,41
2015-06-07,41
2015-06-14,20
2015-06-21,21
2015-06-28,23
2015-07-05,21
2015-07-12,22
2015-07-19,22
2015-07-26,22
2015-08-02,65
2015-08-09,0
2015-08-16,0
2015-08-23,20
2015-08-30,30
2015-09-06,41
2015-09-13,0
2015-09-20,40
2015-09-27,69
2015-10-04,20
2015-10-11,58
2015-10-18,47
2015-10-25,37
2015-11-01,47
2015-11-08,38
2015-11-15,38
2015-11-22,30
2015-11-29,18
2015-12-06,27
2015-12-13,19
2015-12-20,44
2015-12-27,41
2016-01-03,26
2016-01-10,50
2016-01-17,25
2016-01-24,25
2016-01-31,100
2016-02-07,0
2016-02-14,33
2016-02-21,40
2016-02-28,16
2016-03-06,23
2016-03-13,16
2016-03-20,17
2016-03-27,24
2016-04-03,48
2016-04-10,48
2016-04-17,49
2016-04-24,16
2016-05-01,49
2016-05-08,41
2016-05-15,67
2016-05-22,34
2016-05-29,35
2016-06-05,17
2016-06-12,34
2016-06-19,34
2016-06-26,17
2016-07-03,89
2016-07-10,18
2016-07-17,35
2016-07-24,35
2016-07-31,18
2016-08-07,55
2016-08-14,19
2016-08-21,35
2016-08-28,17
2016-09-04,34
2016-09-11,41
2016-09-18,41
2016-09-25,25
2016-10-02,32
2016-10-09,33
2016-10-16,25
2016-10-23,16
2016-10-30,41
2016-11-06,31
2016-11-13,48
2016-11-20,0
2016-11-27,15
2016-12-04,30
2016-12-11,0
2016-12-18,16
2016-12-25,17
2017-01-01,24
2017-01-08,15
2017-01-15,23
2017-01-22,30
2017-01-29,45
2017-02-05,15
2017-02-12,44
2017-02-19,37
2017-02-26,28
2017-03-05,14
2017-03-12,22
2017-03-19,23
2017-03-26,29
2017-04-02,29
2017-04-09,23
2017-04-16,30
2017-04-23,15
2017-04-30,37
2017-05-07,15
2017-05-14,33
2017-05-21,34
2017-05-28,17
2017-06-04,42
2017-06-11,25
2017-06-18,24
2017-06-25,17
2017-07-02,26
2017-07-09,17
2017-07-16,41
2017-07-23,41
2017-07-30,0
2017-08-06,32
2017-08-13,16
2017-08-20,60
2017-08-27,15
2017-09-03,31
2017-09-10,29
2017-09-17,0
2017-09-24,23
2017-10-01,15
2017-10-08,37
2017-10-15,16
2017-10-22,54
2017-10-29,15
2017-11-05,15
2017-11-12,42
2017-11-19,23
2017-11-26,28
2017-12-03,29
