Category: All categories

Week,police: (St. Louis MO)
2012-12-16,27
2012-12-23,22
2012-12-30,23
2013-01-06,23
2013-01-13,24
2013-01-20,24
2013-01-27,24
2013-02-03,28
2013-02-10,27
2013-02-17,27
2013-02-24,26
2013-03-03,25
2013-03-10,26
2013-03-17,28
2013-03-24,23
2013-03-31,24
2013-04-07,25
2013-04-14,31
2013-04-21,26
2013-04-28,26
2013-05-05,28
2013-05-12,27
2013-05-19,26
2013-05-26,26
2013-06-02,26
2013-06-09,26
2013-06-16,25
2013-06-23,26
2013-06-30,33
2013-07-07,29
2013-07-14,27
2013-07-21,28
2013-07-28,27
2013-08-04,27
2013-08-11,31
2013-08-18,29
2013-08-25,28
2013-09-01,28
2013-09-08,25
2013-09-15,27
2013-09-22,27
2013-09-29,28
2013-10-06,27
2013-10-13,26
2013-10-20,26
2013-10-27,27
2013-11-03,27
2013-11-10,26
2013-11-17,26
2013-11-24,22
2013-12-01,26
2013-12-08,25
2013-12-15,24
2013-12-22,25
2013-12-29,24
2014-01-05,27
2014-01-12,27
2014-01-19,26
2014-01-26,31
2014-02-02,24
2014-02-09,25
2014-02-16,26
2014-02-23,26
2014-03-02,27
2014-03-09,27
2014-03-16,25
2014-03-23,28
2014-03-30,26
2014-04-06,26
2014-04-13,26
2014-04-20,26
2014-04-27,28
2014-05-04,28
2014-05-11,26
2014-05-18,28
2014-05-25,26
2014-06-01,29
2014-06-08,27
2014-06-15,29
2014-06-22,27
2014-06-29,31
2014-07-06,29
2014-07-13,29
2014-07-20,30
2014-07-27,27
2014-08-03,29
2014-08-10,100
2014-08-17,62
2014-08-24,37
2014-08-31,33
2014-09-07,28
2014-09-14,29
2014-09-21,30
2014-09-28,32
2014-10-05,34
2014-10-12,30
2014-10-19,28
2014-10-26,27
2014-11-02,29
2014-11-09,30
2014-11-16,33
2014-11-23,55
2014-11-30,40
2014-12-07,34
2014-12-14,29
2014-12-21,37
2014-12-28,33
2015-01-04,29
2015-01-11,29
2015-01-18,30
2015-01-25,29
2015-02-01,26
2015-02-08,28
2015-02-15,26
2015-02-22,28
2015-03-01,29
2015-03-08,33
2015-03-15,33
2015-03-22,28
2015-03-29,32
2015-04-05,35
2015-04-12,34
2015-04-19,28
2015-04-26,36
2015-05-03,32
2015-05-10,29
2015-05-17,28
2015-05-24,32
2015-05-31,29
2015-06-07,33
2015-06-14,31
2015-06-21,28
2015-06-28,28
2015-07-05,28
2015-07-12,30
2015-07-19,30
2015-07-26,30
2015-08-02,29
2015-08-09,29
2015-08-16,34
2015-08-23,31
2015-08-30,33
2015-09-06,27
2015-09-13,31
2015-09-20,27
2015-09-27,25
2015-10-04,25
2015-10-11,27
2015-10-18,30
2015-10-25,31
2015-11-01,29
2015-11-08,27
2015-11-15,27
2015-11-22,29
2015-11-29,30
2015-12-06,27
2015-12-13,25
2015-12-20,25
2015-12-27,28
2016-01-03,28
2016-01-10,24
2016-01-17,25
2016-01-24,25
2016-01-31,23
2016-02-07,28
2016-02-14,27
2016-02-21,26
2016-02-28,27
2016-03-06,27
2016-03-13,27
2016-03-20,27
2016-03-27,27
2016-04-03,26
2016-04-10,25
2016-04-17,27
2016-04-24,25
2016-05-01,27
2016-05-08,25
2016-05-15,25
2016-05-22,26
2016-05-29,27
2016-06-05,25
2016-06-12,27
2016-06-19,26
2016-06-26,28
2016-07-03,87
2016-07-10,56
2016-07-17,54
2016-07-24,33
2016-07-31,33
2016-08-07,26
2016-08-14,27
2016-08-21,28
2016-08-28,27
2016-09-04,27
2016-09-11,28
2016-09-18,39
2016-09-25,31
2016-10-02,37
2016-10-09,37
2016-10-16,30
2016-10-23,29
2016-10-30,35
2016-11-06,25
2016-11-13,26
2016-11-20,29
2016-11-27,27
2016-12-04,26
2016-12-11,29
2016-12-18,24
2016-12-25,22
2017-01-01,27
2017-01-08,23
2017-01-15,24
2017-01-22,25
2017-01-29,25
2017-02-05,25
2017-02-12,25
2017-02-19,29
2017-02-26,24
2017-03-05,26
2017-03-12,25
2017-03-19,25
2017-03-26,26
2017-04-02,26
2017-04-09,26
2017-04-16,28
2017-04-23,27
2017-04-30,28
2017-05-07,26
2017-05-14,27
2017-05-21,27
2017-05-28,25
2017-06-04,30
2017-06-11,29
2017-06-18,33
2017-06-25,32
2017-07-02,31
2017-07-09,28
2017-07-16,30
2017-07-23,29
2017-07-30,30
2017-08-06,27
2017-08-13,29
2017-08-20,24
2017-08-27,32
2017-09-03,31
2017-09-10,41
2017-09-17,38
2017-09-24,30
2017-10-01,29
2017-10-08,26
2017-10-15,27
2017-10-22,27
2017-10-29,26
2017-11-05,30
2017-11-12,25
2017-11-19,21
2017-11-26,25
2017-12-03,34
2017-12-10,25
