Category: All categories

Week,power: (St. Louis MO)
2012-12-16,42
2012-12-23,39
2012-12-30,36
2013-01-06,39
2013-01-13,37
2013-01-20,42
2013-01-27,45
2013-02-03,45
2013-02-10,42
2013-02-17,38
2013-02-24,42
2013-03-03,39
2013-03-10,39
2013-03-17,43
2013-03-24,40
2013-03-31,42
2013-04-07,44
2013-04-14,41
2013-04-21,41
2013-04-28,40
2013-05-05,46
2013-05-12,49
2013-05-19,50
2013-05-26,45
2013-06-02,46
2013-06-09,42
2013-06-16,41
2013-06-23,45
2013-06-30,38
2013-07-07,41
2013-07-14,42
2013-07-21,44
2013-07-28,41
2013-08-04,42
2013-08-11,38
2013-08-18,41
2013-08-25,42
2013-09-01,43
2013-09-08,45
2013-09-15,47
2013-09-22,40
2013-09-29,40
2013-10-06,43
2013-10-13,43
2013-10-20,44
2013-10-27,39
2013-11-03,40
2013-11-10,44
2013-11-17,45
2013-11-24,42
2013-12-01,41
2013-12-08,39
2013-12-15,39
2013-12-22,39
2013-12-29,38
2014-01-05,43
2014-01-12,37
2014-01-19,40
2014-01-26,42
2014-02-02,37
2014-02-09,42
2014-02-16,47
2014-02-23,42
2014-03-02,41
2014-03-09,43
2014-03-16,41
2014-03-23,42
2014-03-30,43
2014-04-06,43
2014-04-13,43
2014-04-20,42
2014-04-27,41
2014-05-04,45
2014-05-11,43
2014-05-18,42
2014-05-25,44
2014-06-01,42
2014-06-08,41
2014-06-15,45
2014-06-22,44
2014-06-29,44
2014-07-06,46
2014-07-13,40
2014-07-20,40
2014-07-27,43
2014-08-03,44
2014-08-10,39
2014-08-17,44
2014-08-24,41
2014-08-31,44
2014-09-07,47
2014-09-14,43
2014-09-21,41
2014-09-28,43
2014-10-05,43
2014-10-12,43
2014-10-19,41
2014-10-26,43
2014-11-02,42
2014-11-09,46
2014-11-16,44
2014-11-23,39
2014-11-30,45
2014-12-07,46
2014-12-14,44
2014-12-21,41
2014-12-28,39
2015-01-04,43
2015-01-11,44
2015-01-18,45
2015-01-25,45
2015-02-01,45
2015-02-08,47
2015-02-15,42
2015-02-22,51
2015-03-01,45
2015-03-08,50
2015-03-15,45
2015-03-22,45
2015-03-29,46
2015-04-05,42
2015-04-12,45
2015-04-19,45
2015-04-26,43
2015-05-03,51
2015-05-10,44
2015-05-17,39
2015-05-24,53
2015-05-31,51
2015-06-07,53
2015-06-14,47
2015-06-21,58
2015-06-28,50
2015-07-05,43
2015-07-12,46
2015-07-19,44
2015-07-26,48
2015-08-02,49
2015-08-09,51
2015-08-16,50
2015-08-23,45
2015-08-30,47
2015-09-06,46
2015-09-13,49
2015-09-20,47
2015-09-27,47
2015-10-04,48
2015-10-11,43
2015-10-18,44
2015-10-25,44
2015-11-01,50
2015-11-08,55
2015-11-15,51
2015-11-22,47
2015-11-29,54
2015-12-06,48
2015-12-13,47
2015-12-20,43
2015-12-27,50
2016-01-03,46
2016-01-10,70
2016-01-17,41
2016-01-24,44
2016-01-31,42
2016-02-07,43
2016-02-14,44
2016-02-21,58
2016-02-28,46
2016-03-06,44
2016-03-13,42
2016-03-20,43
2016-03-27,42
2016-04-03,45
2016-04-10,43
2016-04-17,44
2016-04-24,45
2016-05-01,48
2016-05-08,49
2016-05-15,44
2016-05-22,43
2016-05-29,44
2016-06-05,44
2016-06-12,49
2016-06-19,41
2016-06-26,41
2016-07-03,44
2016-07-10,100
2016-07-17,52
2016-07-24,46
2016-07-31,45
2016-08-07,43
2016-08-14,45
2016-08-21,44
2016-08-28,45
2016-09-04,49
2016-09-11,50
2016-09-18,48
2016-09-25,45
2016-10-02,47
2016-10-09,48
2016-10-16,42
2016-10-23,43
2016-10-30,46
2016-11-06,38
2016-11-13,43
2016-11-20,41
2016-11-27,48
2016-12-04,45
2016-12-11,43
2016-12-18,40
2016-12-25,40
2017-01-01,41
2017-01-08,49
2017-01-15,46
2017-01-22,43
2017-01-29,40
2017-02-05,47
2017-02-12,44
2017-02-19,48
2017-02-26,45
2017-03-05,48
2017-03-12,51
2017-03-19,65
2017-03-26,63
2017-04-02,53
2017-04-09,51
2017-04-16,48
2017-04-23,47
2017-04-30,45
2017-05-07,45
2017-05-14,60
2017-05-21,47
2017-05-28,47
2017-06-04,49
2017-06-11,50
2017-06-18,53
2017-06-25,54
2017-07-02,51
2017-07-09,46
2017-07-16,48
2017-07-23,69
2017-07-30,46
2017-08-06,49
2017-08-13,50
2017-08-20,55
2017-08-27,48
2017-09-03,47
2017-09-10,49
2017-09-17,46
2017-09-24,42
2017-10-01,43
2017-10-08,45
2017-10-15,44
2017-10-22,46
2017-10-29,46
2017-11-05,45
2017-11-12,43
2017-11-19,44
2017-11-26,48
2017-12-03,44
