Category: All categories

Week,school: (St. Louis MO)
2012-12-16,75
2012-12-23,31
2012-12-30,52
2013-01-06,65
2013-01-13,66
2013-01-20,61
2013-01-27,66
2013-02-03,61
2013-02-10,60
2013-02-17,79
2013-02-24,71
2013-03-03,65
2013-03-10,61
2013-03-17,53
2013-03-24,66
2013-03-31,59
2013-04-07,60
2013-04-14,57
2013-04-21,57
2013-04-28,61
2013-05-05,60
2013-05-12,61
2013-05-19,60
2013-05-26,45
2013-06-02,42
2013-06-09,38
2013-06-16,34
2013-06-23,36
2013-06-30,32
2013-07-07,41
2013-07-14,43
2013-07-21,47
2013-07-28,58
2013-08-04,66
2013-08-11,78
2013-08-18,73
2013-08-25,68
2013-09-01,68
2013-09-08,68
2013-09-15,67
2013-09-22,65
2013-09-29,64
2013-10-06,62
2013-10-13,58
2013-10-20,62
2013-10-27,58
2013-11-03,60
2013-11-10,60
2013-11-17,57
2013-11-24,41
2013-12-01,71
2013-12-08,68
2013-12-15,56
2013-12-22,28
2013-12-29,42
2014-01-05,100
2014-01-12,63
2014-01-19,80
2014-01-26,72
2014-02-02,95
2014-02-09,65
2014-02-16,60
2014-02-23,60
2014-03-02,73
2014-03-09,58
2014-03-16,49
2014-03-23,56
2014-03-30,59
2014-04-06,62
2014-04-13,53
2014-04-20,58
2014-04-27,57
2014-05-04,59
2014-05-11,60
2014-05-18,63
2014-05-25,50
2014-06-01,48
2014-06-08,40
2014-06-15,35
2014-06-22,37
2014-06-29,31
2014-07-06,40
2014-07-13,42
2014-07-20,50
2014-07-27,57
2014-08-03,69
2014-08-10,73
2014-08-17,72
2014-08-24,69
2014-08-31,64
2014-09-07,67
2014-09-14,66
2014-09-21,64
2014-09-28,62
2014-10-05,60
2014-10-12,58
2014-10-19,60
2014-10-26,58
2014-11-02,61
2014-11-09,60
2014-11-16,62
2014-11-23,49
2014-11-30,62
2014-12-07,56
2014-12-14,60
2014-12-21,26
2014-12-28,34
2015-01-04,85
2015-01-11,69
2015-01-18,58
2015-01-25,62
2015-02-01,74
2015-02-08,59
2015-02-15,88
2015-02-22,69
2015-03-01,75
2015-03-08,57
2015-03-15,50
2015-03-22,57
2015-03-29,55
2015-04-05,59
2015-04-12,58
2015-04-19,56
2015-04-26,57
2015-05-03,57
2015-05-10,61
2015-05-17,61
2015-05-24,44
2015-05-31,42
2015-06-07,38
2015-06-14,34
2015-06-21,35
2015-06-28,31
2015-07-05,39
2015-07-12,40
2015-07-19,46
2015-07-26,52
2015-08-02,68
2015-08-09,80
2015-08-16,81
2015-08-23,73
2015-08-30,71
2015-09-06,64
2015-09-13,67
2015-09-20,66
2015-09-27,63
2015-10-04,64
2015-10-11,59
2015-10-18,61
2015-10-25,59
2015-11-01,61
2015-11-08,58
2015-11-15,56
2015-11-22,43
2015-11-29,57
2015-12-06,57
2015-12-13,55
2015-12-20,29
2015-12-27,30
2016-01-03,61
2016-01-10,56
2016-01-17,90
2016-01-24,61
2016-01-31,57
2016-02-07,70
2016-02-14,56
2016-02-21,66
2016-02-28,58
2016-03-06,57
2016-03-13,52
2016-03-20,45
2016-03-27,54
2016-04-03,60
2016-04-10,55
2016-04-17,55
2016-04-24,55
2016-05-01,55
2016-05-08,57
2016-05-15,63
2016-05-22,49
2016-05-29,39
2016-06-05,40
2016-06-12,35
2016-06-19,33
2016-06-26,33
2016-07-03,33
2016-07-10,38
2016-07-17,42
2016-07-24,50
2016-07-31,62
2016-08-07,68
2016-08-14,76
2016-08-21,67
2016-08-28,65
2016-09-04,58
2016-09-11,62
2016-09-18,62
2016-09-25,60
2016-10-02,61
2016-10-09,56
2016-10-16,56
2016-10-23,54
2016-10-30,53
2016-11-06,49
2016-11-13,54
2016-11-20,40
2016-11-27,51
2016-12-04,51
2016-12-11,49
2016-12-18,46
2016-12-25,27
2017-01-01,76
2017-01-08,63
2017-01-15,52
2017-01-22,58
2017-01-29,56
2017-02-05,55
2017-02-12,53
2017-02-19,50
2017-02-26,55
2017-03-05,55
2017-03-12,52
2017-03-19,47
2017-03-26,55
2017-04-02,57
2017-04-09,51
2017-04-16,51
2017-04-23,53
2017-04-30,62
2017-05-07,59
2017-05-14,57
2017-05-21,50
2017-05-28,35
2017-06-04,35
2017-06-11,33
2017-06-18,32
2017-06-25,33
2017-07-02,31
2017-07-09,38
2017-07-16,45
2017-07-23,47
2017-07-30,60
2017-08-06,69
2017-08-13,81
2017-08-20,65
2017-08-27,61
2017-09-03,55
2017-09-10,59
2017-09-17,57
2017-09-24,58
2017-10-01,56
2017-10-08,54
2017-10-15,54
2017-10-22,55
2017-10-29,54
2017-11-05,53
2017-11-12,53
2017-11-19,37
2017-11-26,52
2017-12-03,49
