Category: All categories

Week,setback: (St. Louis MO)
2012-12-16,0
2012-12-23,0
2012-12-30,37
2013-01-06,0
2013-01-13,0
2013-01-20,33
2013-01-27,32
2013-02-03,62
2013-02-10,0
2013-02-17,0
2013-02-24,24
2013-03-03,25
2013-03-10,26
2013-03-17,0
2013-03-24,0
2013-03-31,28
2013-04-07,0
2013-04-14,27
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,27
2013-05-26,27
2013-06-02,26
2013-06-09,0
2013-06-16,56
2013-06-23,0
2013-06-30,28
2013-07-07,0
2013-07-14,0
2013-07-21,25
2013-07-28,25
2013-08-04,0
2013-08-11,25
2013-08-18,50
2013-08-25,51
2013-09-01,28
2013-09-08,27
2013-09-15,27
2013-09-22,0
2013-09-29,29
2013-10-06,0
2013-10-13,0
2013-10-20,26
2013-10-27,26
2013-11-03,0
2013-11-10,52
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,23
2013-12-15,36
2013-12-22,30
2013-12-29,27
2014-01-05,0
2014-01-12,76
2014-01-19,0
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,49
2014-02-23,24
2014-03-02,24
2014-03-09,51
2014-03-16,0
2014-03-23,0
2014-03-30,24
2014-04-06,50
2014-04-13,49
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,30
2014-05-18,33
2014-05-25,0
2014-06-01,30
2014-06-08,0
2014-06-15,27
2014-06-22,27
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,30
2014-07-27,31
2014-08-03,32
2014-08-10,29
2014-08-17,29
2014-08-24,0
2014-08-31,56
2014-09-07,0
2014-09-14,85
2014-09-21,87
2014-09-28,28
2014-10-05,28
2014-10-12,0
2014-10-19,30
2014-10-26,33
2014-11-02,0
2014-11-09,0
2014-11-16,32
2014-11-23,0
2014-11-30,62
2014-12-07,0
2014-12-14,33
2014-12-21,0
2014-12-28,0
2015-01-04,94
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,31
2015-02-08,0
2015-02-15,46
2015-02-22,62
2015-03-01,61
2015-03-08,33
2015-03-15,33
2015-03-22,71
2015-03-29,66
2015-04-05,49
2015-04-12,32
2015-04-19,32
2015-04-26,67
2015-05-03,33
2015-05-10,0
2015-05-17,35
2015-05-24,36
2015-05-31,68
2015-06-07,0
2015-06-14,0
2015-06-21,36
2015-06-28,38
2015-07-05,36
2015-07-12,36
2015-07-19,0
2015-07-26,36
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,100
2015-08-30,33
2015-09-06,0
2015-09-13,33
2015-09-20,98
2015-09-27,0
2015-10-04,33
2015-10-11,0
2015-10-18,0
2015-10-25,31
2015-11-01,31
2015-11-08,95
2015-11-15,32
2015-11-22,67
2015-11-29,30
2015-12-06,31
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,29
2016-01-10,27
2016-01-17,56
2016-01-24,0
2016-01-31,0
2016-02-07,40
2016-02-14,0
2016-02-21,0
2016-02-28,26
2016-03-06,38
2016-03-13,53
2016-03-20,42
2016-03-27,27
2016-04-03,54
2016-04-10,54
2016-04-17,27
2016-04-24,39
2016-05-01,27
2016-05-08,0
2016-05-15,42
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,29
2016-07-03,0
2016-07-10,29
2016-07-17,30
2016-07-24,0
2016-07-31,0
2016-08-07,30
2016-08-14,0
2016-08-21,29
2016-08-28,0
2016-09-04,0
2016-09-11,27
2016-09-18,27
2016-09-25,0
2016-10-02,27
2016-10-09,56
2016-10-16,56
2016-10-23,0
2016-10-30,41
2016-11-06,26
2016-11-13,53
2016-11-20,28
2016-11-27,51
2016-12-04,25
2016-12-11,51
2016-12-18,0
2016-12-25,28
2017-01-01,26
2017-01-08,0
2017-01-15,25
2017-01-22,0
2017-01-29,50
2017-02-05,87
2017-02-12,49
2017-02-19,0
2017-02-26,0
2017-03-05,24
2017-03-12,25
2017-03-19,25
2017-03-26,24
2017-04-02,74
2017-04-09,78
2017-04-16,0
2017-04-23,0
2017-04-30,37
2017-05-07,26
2017-05-14,81
2017-05-21,56
2017-05-28,29
2017-06-04,28
2017-06-11,28
2017-06-18,0
2017-06-25,28
2017-07-02,29
2017-07-09,28
2017-07-16,28
2017-07-23,28
2017-07-30,26
2017-08-06,26
2017-08-13,26
2017-08-20,25
2017-08-27,51
2017-09-03,26
2017-09-10,49
2017-09-17,49
2017-09-24,0
2017-10-01,25
2017-10-08,0
2017-10-15,26
2017-10-22,0
2017-10-29,51
2017-11-05,50
2017-11-12,23
2017-11-19,38
2017-11-26,0
2017-12-03,24
