Category: All categories

Week,change: (St. Louis MO)
2012-12-16,65
2012-12-23,65
2012-12-30,73
2013-01-06,71
2013-01-13,73
2013-01-20,75
2013-01-27,71
2013-02-03,66
2013-02-10,68
2013-02-17,65
2013-02-24,69
2013-03-03,72
2013-03-10,83
2013-03-17,65
2013-03-24,67
2013-03-31,72
2013-04-07,68
2013-04-14,72
2013-04-21,68
2013-04-28,69
2013-05-05,71
2013-05-12,66
2013-05-19,68
2013-05-26,63
2013-06-02,67
2013-06-09,73
2013-06-16,64
2013-06-23,68
2013-06-30,72
2013-07-07,68
2013-07-14,61
2013-07-21,65
2013-07-28,68
2013-08-04,67
2013-08-11,69
2013-08-18,71
2013-08-25,70
2013-09-01,68
2013-09-08,75
2013-09-15,82
2013-09-22,82
2013-09-29,75
2013-10-06,75
2013-10-13,82
2013-10-20,82
2013-10-27,88
2013-11-03,85
2013-11-10,71
2013-11-17,75
2013-11-24,61
2013-12-01,66
2013-12-08,67
2013-12-15,65
2013-12-22,71
2013-12-29,69
2014-01-05,70
2014-01-12,78
2014-01-19,73
2014-01-26,78
2014-02-02,73
2014-02-09,70
2014-02-16,76
2014-02-23,78
2014-03-02,79
2014-03-09,86
2014-03-16,75
2014-03-23,72
2014-03-30,76
2014-04-06,75
2014-04-13,71
2014-04-20,74
2014-04-27,78
2014-05-04,78
2014-05-11,73
2014-05-18,72
2014-05-25,80
2014-06-01,71
2014-06-08,70
2014-06-15,73
2014-06-22,73
2014-06-29,67
2014-07-06,81
2014-07-13,71
2014-07-20,77
2014-07-27,78
2014-08-03,81
2014-08-10,72
2014-08-17,78
2014-08-24,86
2014-08-31,82
2014-09-07,85
2014-09-14,83
2014-09-21,84
2014-09-28,79
2014-10-05,85
2014-10-12,79
2014-10-19,85
2014-10-26,94
2014-11-02,93
2014-11-09,83
2014-11-16,77
2014-11-23,73
2014-11-30,82
2014-12-07,82
2014-12-14,74
2014-12-21,68
2014-12-28,78
2015-01-04,79
2015-01-11,81
2015-01-18,84
2015-01-25,84
2015-02-01,81
2015-02-08,78
2015-02-15,80
2015-02-22,86
2015-03-01,87
2015-03-08,92
2015-03-15,79
2015-03-22,79
2015-03-29,82
2015-04-05,81
2015-04-12,85
2015-04-19,75
2015-04-26,84
2015-05-03,78
2015-05-10,77
2015-05-17,76
2015-05-24,74
2015-05-31,81
2015-06-07,79
2015-06-14,79
2015-06-21,82
2015-06-28,85
2015-07-05,80
2015-07-12,77
2015-07-19,86
2015-07-26,87
2015-08-02,78
2015-08-09,82
2015-08-16,81
2015-08-23,86
2015-08-30,95
2015-09-06,91
2015-09-13,89
2015-09-20,85
2015-09-27,93
2015-10-04,98
2015-10-11,88
2015-10-18,88
2015-10-25,100
2015-11-01,94
2015-11-08,79
2015-11-15,83
2015-11-22,72
2015-11-29,82
2015-12-06,82
2015-12-13,84
2015-12-20,72
2015-12-27,77
2016-01-03,80
2016-01-10,83
2016-01-17,80
2016-01-24,81
2016-01-31,83
2016-02-07,78
2016-02-14,81
2016-02-21,87
2016-02-28,85
2016-03-06,84
2016-03-13,89
2016-03-20,78
2016-03-27,81
2016-04-03,84
2016-04-10,83
2016-04-17,84
2016-04-24,82
2016-05-01,78
2016-05-08,80
2016-05-15,79
2016-05-22,81
2016-05-29,76
2016-06-05,78
2016-06-12,75
2016-06-19,79
2016-06-26,78
2016-07-03,75
2016-07-10,84
2016-07-17,82
2016-07-24,77
2016-07-31,73
2016-08-07,76
2016-08-14,78
2016-08-21,84
2016-08-28,81
2016-09-04,84
2016-09-11,86
2016-09-18,92
2016-09-25,86
2016-10-02,88
2016-10-09,88
2016-10-16,88
2016-10-23,91
2016-10-30,100
2016-11-06,88
2016-11-13,84
2016-11-20,75
2016-11-27,83
2016-12-04,85
2016-12-11,81
2016-12-18,77
2016-12-25,79
2017-01-01,79
2017-01-08,80
2017-01-15,83
2017-01-22,85
2017-01-29,88
2017-02-05,87
2017-02-12,84
2017-02-19,87
2017-02-26,90
2017-03-05,89
2017-03-12,93
2017-03-19,83
2017-03-26,82
2017-04-02,83
2017-04-09,86
2017-04-16,77
2017-04-23,78
2017-04-30,77
2017-05-07,78
2017-05-14,76
2017-05-21,65
2017-05-28,80
2017-06-04,79
2017-06-11,79
2017-06-18,85
2017-06-25,79
2017-07-02,78
2017-07-09,83
2017-07-16,85
2017-07-23,81
2017-07-30,76
2017-08-06,78
2017-08-13,77
2017-08-20,76
2017-08-27,79
2017-09-03,87
2017-09-10,80
2017-09-17,93
2017-09-24,91
2017-10-01,89
2017-10-08,86
2017-10-15,87
2017-10-22,99
2017-10-29,95
2017-11-05,100
2017-11-12,81
2017-11-19,72
2017-11-26,85
2017-12-03,86
