Category: All categories

Week,economy: (St. Louis MO)
2012-12-16,33
2012-12-23,40
2012-12-30,38
2013-01-06,70
2013-01-13,62
2013-01-20,76
2013-01-27,84
2013-02-03,65
2013-02-10,88
2013-02-17,60
2013-02-24,45
2013-03-03,57
2013-03-10,42
2013-03-17,48
2013-03-24,53
2013-03-31,58
2013-04-07,54
2013-04-14,62
2013-04-21,77
2013-04-28,51
2013-05-05,70
2013-05-12,59
2013-05-19,42
2013-05-26,56
2013-06-02,35
2013-06-09,28
2013-06-16,27
2013-06-23,59
2013-06-30,38
2013-07-07,44
2013-07-14,49
2013-07-21,42
2013-07-28,38
2013-08-04,27
2013-08-11,40
2013-08-18,45
2013-08-25,52
2013-09-01,66
2013-09-08,72
2013-09-15,67
2013-09-22,74
2013-09-29,89
2013-10-06,81
2013-10-13,53
2013-10-20,58
2013-10-27,63
2013-11-03,69
2013-11-10,65
2013-11-17,71
2013-11-24,39
2013-12-01,70
2013-12-08,61
2013-12-15,58
2013-12-22,35
2013-12-29,34
2014-01-05,39
2014-01-12,74
2014-01-19,68
2014-01-26,70
2014-02-02,61
2014-02-09,78
2014-02-16,76
2014-02-23,71
2014-03-02,77
2014-03-09,58
2014-03-16,51
2014-03-23,69
2014-03-30,70
2014-04-06,88
2014-04-13,57
2014-04-20,67
2014-04-27,79
2014-05-04,100
2014-05-11,58
2014-05-18,70
2014-05-25,58
2014-06-01,58
2014-06-08,36
2014-06-15,48
2014-06-22,42
2014-06-29,34
2014-07-06,46
2014-07-13,49
2014-07-20,43
2014-07-27,40
2014-08-03,44
2014-08-10,41
2014-08-17,42
2014-08-24,63
2014-08-31,82
2014-09-07,68
2014-09-14,75
2014-09-21,72
2014-09-28,76
2014-10-05,88
2014-10-12,73
2014-10-19,89
2014-10-26,62
2014-11-02,62
2014-11-09,77
2014-11-16,78
2014-11-23,74
2014-11-30,85
2014-12-07,95
2014-12-14,90
2014-12-21,35
2014-12-28,33
2015-01-04,72
2015-01-11,70
2015-01-18,69
2015-01-25,86
2015-02-01,58
2015-02-08,61
2015-02-15,53
2015-02-22,65
2015-03-01,63
2015-03-08,62
2015-03-15,62
2015-03-22,67
2015-03-29,56
2015-04-05,51
2015-04-12,94
2015-04-19,58
2015-04-26,76
2015-05-03,89
2015-05-10,66
2015-05-17,67
2015-05-24,29
2015-05-31,48
2015-06-07,40
2015-06-14,47
2015-06-21,43
2015-06-28,50
2015-07-05,60
2015-07-12,68
2015-07-19,36
2015-07-26,43
2015-08-02,49
2015-08-09,46
2015-08-16,61
2015-08-23,88
2015-08-30,81
2015-09-06,77
2015-09-13,97
2015-09-20,89
2015-09-27,78
2015-10-04,90
2015-10-11,78
2015-10-18,71
2015-10-25,81
2015-11-01,87
2015-11-08,70
2015-11-15,50
2015-11-22,72
2015-11-29,71
2015-12-06,72
2015-12-13,69
2015-12-20,33
2015-12-27,26
2016-01-03,65
2016-01-10,83
2016-01-17,82
2016-01-24,90
2016-01-31,91
2016-02-07,79
2016-02-14,90
2016-02-21,87
2016-02-28,81
2016-03-06,54
2016-03-13,59
2016-03-20,54
2016-03-27,67
2016-04-03,58
2016-04-10,88
2016-04-17,88
2016-04-24,68
2016-05-01,73
2016-05-08,79
2016-05-15,73
2016-05-22,47
2016-05-29,33
2016-06-05,50
2016-06-12,43
2016-06-19,62
2016-06-26,49
2016-07-03,39
2016-07-10,43
2016-07-17,60
2016-07-24,53
2016-07-31,35
2016-08-07,52
2016-08-14,43
2016-08-21,63
2016-08-28,66
2016-09-04,68
2016-09-11,67
2016-09-18,70
2016-09-25,65
2016-10-02,95
2016-10-09,72
2016-10-16,81
2016-10-23,71
2016-10-30,62
2016-11-06,82
2016-11-13,83
2016-11-20,49
2016-11-27,79
2016-12-04,79
2016-12-11,77
2016-12-18,57
2016-12-25,45
2017-01-01,37
2017-01-08,52
2017-01-15,87
2017-01-22,91
2017-01-29,82
2017-02-05,79
2017-02-12,66
2017-02-19,68
2017-02-26,78
2017-03-05,70
2017-03-12,53
2017-03-19,52
2017-03-26,67
2017-04-02,76
2017-04-09,66
2017-04-16,70
2017-04-23,75
2017-04-30,75
2017-05-07,73
2017-05-14,68
2017-05-21,35
2017-05-28,50
2017-06-04,52
2017-06-11,33
2017-06-18,33
2017-06-25,49
2017-07-02,29
2017-07-09,54
2017-07-16,37
2017-07-23,37
2017-07-30,35
2017-08-06,36
2017-08-13,34
2017-08-20,66
2017-08-27,69
2017-09-03,66
2017-09-10,90
2017-09-17,79
2017-09-24,83
2017-10-01,79
2017-10-08,69
2017-10-15,69
2017-10-22,88
2017-10-29,79
2017-11-05,85
2017-11-12,79
2017-11-19,48
2017-11-26,77
2017-12-03,78
