Category: All categories

Week,ethics: (St. Louis MO)
2012-12-16,60
2012-12-23,25
2012-12-30,25
2013-01-06,64
2013-01-13,46
2013-01-20,76
2013-01-27,68
2013-02-03,83
2013-02-10,54
2013-02-17,50
2013-02-24,66
2013-03-03,73
2013-03-10,58
2013-03-17,69
2013-03-24,59
2013-03-31,73
2013-04-07,68
2013-04-14,44
2013-04-21,71
2013-04-28,57
2013-05-05,74
2013-05-12,55
2013-05-19,43
2013-05-26,34
2013-06-02,39
2013-06-09,50
2013-06-16,41
2013-06-23,50
2013-06-30,24
2013-07-07,27
2013-07-14,26
2013-07-21,33
2013-07-28,33
2013-08-04,21
2013-08-11,45
2013-08-18,59
2013-08-25,76
2013-09-01,73
2013-09-08,53
2013-09-15,75
2013-09-22,66
2013-09-29,72
2013-10-06,77
2013-10-13,63
2013-10-20,70
2013-10-27,52
2013-11-03,77
2013-11-10,68
2013-11-17,48
2013-11-24,39
2013-12-01,60
2013-12-08,50
2013-12-15,29
2013-12-22,33
2013-12-29,33
2014-01-05,34
2014-01-12,68
2014-01-19,42
2014-01-26,49
2014-02-02,60
2014-02-09,59
2014-02-16,74
2014-02-23,74
2014-03-02,78
2014-03-09,58
2014-03-16,52
2014-03-23,80
2014-03-30,54
2014-04-06,57
2014-04-13,72
2014-04-20,58
2014-04-27,60
2014-05-04,69
2014-05-11,43
2014-05-18,54
2014-05-25,28
2014-06-01,48
2014-06-08,64
2014-06-15,44
2014-06-22,45
2014-06-29,27
2014-07-06,46
2014-07-13,54
2014-07-20,53
2014-07-27,31
2014-08-03,40
2014-08-10,33
2014-08-17,31
2014-08-24,72
2014-08-31,75
2014-09-07,72
2014-09-14,86
2014-09-21,99
2014-09-28,73
2014-10-05,70
2014-10-12,74
2014-10-19,85
2014-10-26,82
2014-11-02,80
2014-11-09,100
2014-11-16,68
2014-11-23,46
2014-11-30,90
2014-12-07,55
2014-12-14,39
2014-12-21,21
2014-12-28,17
2015-01-04,69
2015-01-11,62
2015-01-18,68
2015-01-25,65
2015-02-01,49
2015-02-08,96
2015-02-15,44
2015-02-22,66
2015-03-01,53
2015-03-08,65
2015-03-15,63
2015-03-22,73
2015-03-29,71
2015-04-05,76
2015-04-12,60
2015-04-19,89
2015-04-26,58
2015-05-03,71
2015-05-10,47
2015-05-17,34
2015-05-24,29
2015-05-31,36
2015-06-07,47
2015-06-14,54
2015-06-21,37
2015-06-28,31
2015-07-05,51
2015-07-12,53
2015-07-19,41
2015-07-26,42
2015-08-02,42
2015-08-09,43
2015-08-16,49
2015-08-23,92
2015-08-30,88
2015-09-06,81
2015-09-13,68
2015-09-20,87
2015-09-27,94
2015-10-04,86
2015-10-11,91
2015-10-18,93
2015-10-25,62
2015-11-01,72
2015-11-08,75
2015-11-15,73
2015-11-22,42
2015-11-29,66
2015-12-06,61
2015-12-13,70
2015-12-20,18
2015-12-27,11
2016-01-03,45
2016-01-10,48
2016-01-17,55
2016-01-24,61
2016-01-31,74
2016-02-07,96
2016-02-14,60
2016-02-21,62
2016-02-28,59
2016-03-06,45
2016-03-13,48
2016-03-20,50
2016-03-27,60
2016-04-03,61
2016-04-10,72
2016-04-17,76
2016-04-24,72
2016-05-01,80
2016-05-08,46
2016-05-15,40
2016-05-22,44
2016-05-29,33
2016-06-05,58
2016-06-12,59
2016-06-19,63
2016-06-26,50
2016-07-03,38
2016-07-10,36
2016-07-17,42
2016-07-24,34
2016-07-31,55
2016-08-07,32
2016-08-14,56
2016-08-21,60
2016-08-28,73
2016-09-04,64
2016-09-11,87
2016-09-18,85
2016-09-25,77
2016-10-02,59
2016-10-09,75
2016-10-16,50
2016-10-23,85
2016-10-30,66
2016-11-06,50
2016-11-13,42
2016-11-20,35
2016-11-27,66
2016-12-04,63
2016-12-11,63
2016-12-18,32
2016-12-25,23
2017-01-01,85
2017-01-08,49
2017-01-15,59
2017-01-22,99
2017-01-29,59
2017-02-05,71
2017-02-12,84
2017-02-19,53
2017-02-26,72
2017-03-05,59
2017-03-12,52
2017-03-19,66
2017-03-26,44
2017-04-02,70
2017-04-09,55
2017-04-16,66
2017-04-23,66
2017-04-30,50
2017-05-07,71
2017-05-14,35
2017-05-21,39
2017-05-28,59
2017-06-04,45
2017-06-11,41
2017-06-18,32
2017-06-25,32
2017-07-02,37
2017-07-09,45
2017-07-16,41
2017-07-23,31
2017-07-30,35
2017-08-06,33
2017-08-13,39
2017-08-20,48
2017-08-27,67
2017-09-03,71
2017-09-10,62
2017-09-17,79
2017-09-24,56
2017-10-01,72
2017-10-08,59
2017-10-15,61
2017-10-22,30
2017-10-29,64
2017-11-05,51
2017-11-12,39
2017-11-19,32
2017-11-26,50
2017-12-03,53
