Category: All categories

Week,innovation: (St. Louis MO)
2012-12-16,56
2012-12-23,18
2012-12-30,40
2013-01-06,28
2013-01-13,52
2013-01-20,68
2013-01-27,73
2013-02-03,47
2013-02-10,62
2013-02-17,40
2013-02-24,31
2013-03-03,44
2013-03-10,40
2013-03-17,44
2013-03-24,68
2013-03-31,55
2013-04-07,49
2013-04-14,40
2013-04-21,85
2013-04-28,53
2013-05-05,23
2013-05-12,45
2013-05-19,24
2013-05-26,15
2013-06-02,25
2013-06-09,42
2013-06-16,37
2013-06-23,41
2013-06-30,39
2013-07-07,25
2013-07-14,32
2013-07-21,36
2013-07-28,41
2013-08-04,24
2013-08-11,30
2013-08-18,49
2013-08-25,35
2013-09-01,52
2013-09-08,67
2013-09-15,64
2013-09-22,54
2013-09-29,57
2013-10-06,40
2013-10-13,59
2013-10-20,48
2013-10-27,61
2013-11-03,44
2013-11-10,42
2013-11-17,46
2013-11-24,30
2013-12-01,22
2013-12-08,62
2013-12-15,28
2013-12-22,32
2013-12-29,43
2014-01-05,60
2014-01-12,52
2014-01-19,55
2014-01-26,57
2014-02-02,71
2014-02-09,54
2014-02-16,64
2014-02-23,47
2014-03-02,80
2014-03-09,57
2014-03-16,25
2014-03-23,62
2014-03-30,57
2014-04-06,75
2014-04-13,48
2014-04-20,57
2014-04-27,43
2014-05-04,46
2014-05-11,52
2014-05-18,49
2014-05-25,30
2014-06-01,62
2014-06-08,41
2014-06-15,49
2014-06-22,26
2014-06-29,16
2014-07-06,40
2014-07-13,58
2014-07-20,39
2014-07-27,51
2014-08-03,34
2014-08-10,35
2014-08-17,53
2014-08-24,61
2014-08-31,39
2014-09-07,78
2014-09-14,46
2014-09-21,47
2014-09-28,61
2014-10-05,55
2014-10-12,66
2014-10-19,68
2014-10-26,57
2014-11-02,71
2014-11-09,44
2014-11-16,76
2014-11-23,33
2014-11-30,67
2014-12-07,34
2014-12-14,50
2014-12-21,16
2014-12-28,23
2015-01-04,58
2015-01-11,74
2015-01-18,64
2015-01-25,37
2015-02-01,59
2015-02-08,50
2015-02-15,53
2015-02-22,36
2015-03-01,63
2015-03-08,32
2015-03-15,50
2015-03-22,81
2015-03-29,57
2015-04-05,67
2015-04-12,64
2015-04-19,95
2015-04-26,62
2015-05-03,53
2015-05-10,32
2015-05-17,67
2015-05-24,42
2015-05-31,44
2015-06-07,60
2015-06-14,86
2015-06-21,81
2015-06-28,65
2015-07-05,74
2015-07-12,58
2015-07-19,40
2015-07-26,50
2015-08-02,50
2015-08-09,71
2015-08-16,52
2015-08-23,25
2015-08-30,64
2015-09-06,89
2015-09-13,85
2015-09-20,78
2015-09-27,75
2015-10-04,86
2015-10-11,35
2015-10-18,75
2015-10-25,94
2015-11-01,51
2015-11-08,55
2015-11-15,48
2015-11-22,55
2015-11-29,82
2015-12-06,43
2015-12-13,72
2015-12-20,28
2015-12-27,15
2016-01-03,65
2016-01-10,60
2016-01-17,49
2016-01-24,75
2016-01-31,57
2016-02-07,61
2016-02-14,73
2016-02-21,85
2016-02-28,79
2016-03-06,83
2016-03-13,54
2016-03-20,72
2016-03-27,61
2016-04-03,52
2016-04-10,55
2016-04-17,68
2016-04-24,65
2016-05-01,58
2016-05-08,83
2016-05-15,54
2016-05-22,24
2016-05-29,44
2016-06-05,53
2016-06-12,43
2016-06-19,49
2016-06-26,43
2016-07-03,51
2016-07-10,60
2016-07-17,80
2016-07-24,59
2016-07-31,38
2016-08-07,53
2016-08-14,47
2016-08-21,79
2016-08-28,78
2016-09-04,57
2016-09-11,59
2016-09-18,71
2016-09-25,68
2016-10-02,65
2016-10-09,57
2016-10-16,51
2016-10-23,51
2016-10-30,38
2016-11-06,39
2016-11-13,81
2016-11-20,45
2016-11-27,60
2016-12-04,54
2016-12-11,90
2016-12-18,91
2016-12-25,43
2017-01-01,43
2017-01-08,52
2017-01-15,35
2017-01-22,49
2017-01-29,56
2017-02-05,59
2017-02-12,75
2017-02-19,63
2017-02-26,69
2017-03-05,91
2017-03-12,80
2017-03-19,66
2017-03-26,79
2017-04-02,46
2017-04-09,62
2017-04-16,66
2017-04-23,64
2017-04-30,61
2017-05-07,53
2017-05-14,53
2017-05-21,64
2017-05-28,44
2017-06-04,87
2017-06-11,50
2017-06-18,61
2017-06-25,46
2017-07-02,32
2017-07-09,39
2017-07-16,66
2017-07-23,54
2017-07-30,34
2017-08-06,65
2017-08-13,23
2017-08-20,49
2017-08-27,71
2017-09-03,66
2017-09-10,63
2017-09-17,56
2017-09-24,65
2017-10-01,62
2017-10-08,52
2017-10-15,75
2017-10-22,81
2017-10-29,100
2017-11-05,41
2017-11-12,42
2017-11-19,44
2017-11-26,77
2017-12-03,67
