Category: All categories

Week,politician: (St. Louis MO)
2012-12-16,17
2012-12-23,14
2012-12-30,37
2013-01-06,17
2013-01-13,27
2013-01-20,51
2013-01-27,0
2013-02-03,21
2013-02-10,19
2013-02-17,8
2013-02-24,12
2013-03-03,13
2013-03-10,35
2013-03-17,14
2013-03-24,35
2013-03-31,19
2013-04-07,36
2013-04-14,22
2013-04-21,14
2013-04-28,23
2013-05-05,27
2013-05-12,19
2013-05-19,23
2013-05-26,37
2013-06-02,13
2013-06-09,9
2013-06-16,0
2013-06-23,34
2013-06-30,14
2013-07-07,9
2013-07-14,13
2013-07-21,39
2013-07-28,25
2013-08-04,12
2013-08-11,25
2013-08-18,13
2013-08-25,0
2013-09-01,19
2013-09-08,18
2013-09-15,23
2013-09-22,14
2013-09-29,39
2013-10-06,27
2013-10-13,13
2013-10-20,9
2013-10-27,22
2013-11-03,34
2013-11-10,48
2013-11-17,17
2013-11-24,17
2013-12-01,23
2013-12-08,16
2013-12-15,12
2013-12-22,20
2013-12-29,9
2014-01-05,8
2014-01-12,13
2014-01-19,24
2014-01-26,20
2014-02-02,13
2014-02-09,16
2014-02-16,29
2014-02-23,37
2014-03-02,20
2014-03-09,17
2014-03-16,18
2014-03-23,25
2014-03-30,20
2014-04-06,21
2014-04-13,13
2014-04-20,25
2014-04-27,38
2014-05-04,24
2014-05-11,15
2014-05-18,39
2014-05-25,29
2014-06-01,25
2014-06-08,32
2014-06-15,18
2014-06-22,23
2014-06-29,40
2014-07-06,14
2014-07-13,10
2014-07-20,25
2014-07-27,32
2014-08-03,43
2014-08-10,30
2014-08-17,29
2014-08-24,14
2014-08-31,9
2014-09-07,9
2014-09-14,29
2014-09-21,29
2014-09-28,28
2014-10-05,24
2014-10-12,9
2014-10-19,30
2014-10-26,28
2014-11-02,32
2014-11-09,21
2014-11-16,32
2014-11-23,34
2014-11-30,16
2014-12-07,32
2014-12-14,11
2014-12-21,19
2014-12-28,35
2015-01-04,16
2015-01-11,26
2015-01-18,21
2015-01-25,52
2015-02-01,21
2015-02-08,10
2015-02-15,21
2015-02-22,41
2015-03-01,46
2015-03-08,44
2015-03-15,11
2015-03-22,36
2015-03-29,33
2015-04-05,22
2015-04-12,11
2015-04-19,22
2015-04-26,28
2015-05-03,0
2015-05-10,17
2015-05-17,12
2015-05-24,18
2015-05-31,0
2015-06-07,23
2015-06-14,17
2015-06-21,12
2015-06-28,13
2015-07-05,18
2015-07-12,30
2015-07-19,12
2015-07-26,36
2015-08-02,30
2015-08-09,12
2015-08-16,23
2015-08-23,11
2015-08-30,45
2015-09-06,17
2015-09-13,22
2015-09-20,17
2015-09-27,33
2015-10-04,17
2015-10-11,33
2015-10-18,16
2015-10-25,0
2015-11-01,11
2015-11-08,22
2015-11-15,27
2015-11-22,23
2015-11-29,36
2015-12-06,21
2015-12-13,48
2015-12-20,31
2015-12-27,23
2016-01-03,19
2016-01-10,23
2016-01-17,29
2016-01-24,19
2016-01-31,24
2016-02-07,14
2016-02-14,28
2016-02-21,32
2016-02-28,35
2016-03-06,43
2016-03-13,45
2016-03-20,19
2016-03-27,9
2016-04-03,45
2016-04-10,14
2016-04-17,18
2016-04-24,18
2016-05-01,27
2016-05-08,19
2016-05-15,9
2016-05-22,24
2016-05-29,40
2016-06-05,25
2016-06-12,10
2016-06-19,43
2016-06-26,48
2016-07-03,35
2016-07-10,20
2016-07-17,75
2016-07-24,44
2016-07-31,20
2016-08-07,21
2016-08-14,11
2016-08-21,15
2016-08-28,19
2016-09-04,9
2016-09-11,37
2016-09-18,14
2016-09-25,28
2016-10-02,23
2016-10-09,33
2016-10-16,42
2016-10-23,42
2016-10-30,46
2016-11-06,100
2016-11-13,18
2016-11-20,19
2016-11-27,26
2016-12-04,25
2016-12-11,13
2016-12-18,28
2016-12-25,24
2017-01-01,9
2017-01-08,26
2017-01-15,30
2017-01-22,34
2017-01-29,25
2017-02-05,17
2017-02-12,25
2017-02-19,64
2017-02-26,16
2017-03-05,28
2017-03-12,37
2017-03-19,9
2017-03-26,25
2017-04-02,25
2017-04-09,13
2017-04-16,30
2017-04-23,17
2017-04-30,12
2017-05-07,9
2017-05-14,23
2017-05-21,29
2017-05-28,15
2017-06-04,9
2017-06-11,19
2017-06-18,9
2017-06-25,19
2017-07-02,15
2017-07-09,23
2017-07-16,9
2017-07-23,9
2017-07-30,18
2017-08-06,13
2017-08-13,9
2017-08-20,47
2017-08-27,30
2017-09-03,26
2017-09-10,33
2017-09-17,21
2017-09-24,21
2017-10-01,25
2017-10-08,17
2017-10-15,26
2017-10-22,61
2017-10-29,30
2017-11-05,30
2017-11-12,43
2017-11-19,48
2017-11-26,28
2017-12-03,16
