Category: All categories

Week,progress: (St. Louis MO)
2012-12-16,38
2012-12-23,29
2012-12-30,47
2013-01-06,55
2013-01-13,55
2013-01-20,67
2013-01-27,45
2013-02-03,47
2013-02-10,64
2013-02-17,39
2013-02-24,47
2013-03-03,55
2013-03-10,36
2013-03-17,45
2013-03-24,51
2013-03-31,44
2013-04-07,53
2013-04-14,48
2013-04-21,45
2013-04-28,59
2013-05-05,52
2013-05-12,47
2013-05-19,58
2013-05-26,42
2013-06-02,40
2013-06-09,42
2013-06-16,57
2013-06-23,54
2013-06-30,33
2013-07-07,46
2013-07-14,39
2013-07-21,33
2013-07-28,41
2013-08-04,47
2013-08-11,43
2013-08-18,59
2013-08-25,76
2013-09-01,52
2013-09-08,49
2013-09-15,51
2013-09-22,54
2013-09-29,52
2013-10-06,43
2013-10-13,34
2013-10-20,49
2013-10-27,46
2013-11-03,42
2013-11-10,44
2013-11-17,40
2013-11-24,31
2013-12-01,36
2013-12-08,40
2013-12-15,36
2013-12-22,31
2013-12-29,42
2014-01-05,37
2014-01-12,52
2014-01-19,47
2014-01-26,46
2014-02-02,43
2014-02-09,52
2014-02-16,69
2014-02-23,58
2014-03-02,53
2014-03-09,53
2014-03-16,41
2014-03-23,41
2014-03-30,48
2014-04-06,50
2014-04-13,46
2014-04-20,41
2014-04-27,47
2014-05-04,45
2014-05-11,43
2014-05-18,68
2014-05-25,53
2014-06-01,44
2014-06-08,60
2014-06-15,37
2014-06-22,46
2014-06-29,46
2014-07-06,42
2014-07-13,50
2014-07-20,51
2014-07-27,47
2014-08-03,46
2014-08-10,44
2014-08-17,50
2014-08-24,54
2014-08-31,46
2014-09-07,45
2014-09-14,53
2014-09-21,55
2014-09-28,59
2014-10-05,60
2014-10-12,46
2014-10-19,60
2014-10-26,49
2014-11-02,50
2014-11-09,46
2014-11-16,56
2014-11-23,38
2014-11-30,42
2014-12-07,49
2014-12-14,43
2014-12-21,35
2014-12-28,57
2015-01-04,61
2015-01-11,50
2015-01-18,66
2015-01-25,48
2015-02-01,53
2015-02-08,53
2015-02-15,48
2015-02-22,61
2015-03-01,59
2015-03-08,56
2015-03-15,67
2015-03-22,40
2015-03-29,53
2015-04-05,48
2015-04-12,53
2015-04-19,62
2015-04-26,54
2015-05-03,56
2015-05-10,52
2015-05-17,58
2015-05-24,52
2015-05-31,54
2015-06-07,55
2015-06-14,45
2015-06-21,40
2015-06-28,60
2015-07-05,80
2015-07-12,68
2015-07-19,52
2015-07-26,54
2015-08-02,69
2015-08-09,65
2015-08-16,65
2015-08-23,72
2015-08-30,100
2015-09-06,65
2015-09-13,58
2015-09-20,59
2015-09-27,41
2015-10-04,55
2015-10-11,52
2015-10-18,54
2015-10-25,55
2015-11-01,59
2015-11-08,64
2015-11-15,54
2015-11-22,47
2015-11-29,46
2015-12-06,47
2015-12-13,60
2015-12-20,36
2015-12-27,35
2016-01-03,40
2016-01-10,46
2016-01-17,41
2016-01-24,57
2016-01-31,52
2016-02-07,60
2016-02-14,62
2016-02-21,28
2016-02-28,62
2016-03-06,50
2016-03-13,44
2016-03-20,51
2016-03-27,61
2016-04-03,73
2016-04-10,71
2016-04-17,46
2016-04-24,48
2016-05-01,62
2016-05-08,54
2016-05-15,52
2016-05-22,56
2016-05-29,61
2016-06-05,63
2016-06-12,39
2016-06-19,63
2016-06-26,69
2016-07-03,60
2016-07-10,55
2016-07-17,49
2016-07-24,39
2016-07-31,50
2016-08-07,59
2016-08-14,54
2016-08-21,68
2016-08-28,45
2016-09-04,50
2016-09-11,58
2016-09-18,48
2016-09-25,50
2016-10-02,67
2016-10-09,60
2016-10-16,52
2016-10-23,57
2016-10-30,51
2016-11-06,55
2016-11-13,66
2016-11-20,53
2016-11-27,47
2016-12-04,67
2016-12-11,44
2016-12-18,46
2016-12-25,31
2017-01-01,44
2017-01-08,51
2017-01-15,52
2017-01-22,61
2017-01-29,56
2017-02-05,59
2017-02-12,53
2017-02-19,44
2017-02-26,58
2017-03-05,58
2017-03-12,44
2017-03-19,47
2017-03-26,56
2017-04-02,52
2017-04-09,48
2017-04-16,50
2017-04-23,55
2017-04-30,52
2017-05-07,60
2017-05-14,57
2017-05-21,39
2017-05-28,65
2017-06-04,43
2017-06-11,51
2017-06-18,49
2017-06-25,49
2017-07-02,57
2017-07-09,50
2017-07-16,40
2017-07-23,46
2017-07-30,55
2017-08-06,64
2017-08-13,69
2017-08-20,67
2017-08-27,83
2017-09-03,52
2017-09-10,53
2017-09-17,49
2017-09-24,67
2017-10-01,42
2017-10-08,45
2017-10-15,47
2017-10-22,48
2017-10-29,55
2017-11-05,48
2017-11-12,38
2017-11-19,43
2017-11-26,50
2017-12-03,75
