Category: All categories

Week,prowess: (St. Louis MO)
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,40
2013-01-27,38
2013-02-03,37
2013-02-10,34
2013-02-17,30
2013-02-24,29
2013-03-03,0
2013-03-10,0
2013-03-17,33
2013-03-24,36
2013-03-31,0
2013-04-07,32
2013-04-14,0
2013-04-21,33
2013-04-28,64
2013-05-05,32
2013-05-12,0
2013-05-19,0
2013-05-26,33
2013-06-02,31
2013-06-09,0
2013-06-16,34
2013-06-23,0
2013-06-30,34
2013-07-07,31
2013-07-14,30
2013-07-21,0
2013-07-28,0
2013-08-04,29
2013-08-11,30
2013-08-18,30
2013-08-25,61
2013-09-01,34
2013-09-08,0
2013-09-15,32
2013-09-22,34
2013-09-29,35
2013-10-06,32
2013-10-13,31
2013-10-20,31
2013-10-27,61
2013-11-03,0
2013-11-10,62
2013-11-17,30
2013-11-24,31
2013-12-01,28
2013-12-08,0
2013-12-15,28
2013-12-22,35
2013-12-29,0
2014-01-05,30
2014-01-12,30
2014-01-19,29
2014-01-26,43
2014-02-02,60
2014-02-09,0
2014-02-16,29
2014-02-23,29
2014-03-02,28
2014-03-09,0
2014-03-16,31
2014-03-23,30
2014-03-30,29
2014-04-06,30
2014-04-13,59
2014-04-20,0
2014-04-27,30
2014-05-04,0
2014-05-11,0
2014-05-18,39
2014-05-25,82
2014-06-01,72
2014-06-08,32
2014-06-15,32
2014-06-22,0
2014-06-29,53
2014-07-06,0
2014-07-13,36
2014-07-20,36
2014-07-27,0
2014-08-03,57
2014-08-10,34
2014-08-17,35
2014-08-24,34
2014-08-31,34
2014-09-07,66
2014-09-14,34
2014-09-21,35
2014-09-28,34
2014-10-05,34
2014-10-12,33
2014-10-19,72
2014-10-26,0
2014-11-02,74
2014-11-09,38
2014-11-16,57
2014-11-23,41
2014-11-30,74
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,75
2015-01-11,74
2015-01-18,75
2015-01-25,37
2015-02-01,37
2015-02-08,37
2015-02-15,0
2015-02-22,0
2015-03-01,73
2015-03-08,39
2015-03-15,39
2015-03-22,42
2015-03-29,0
2015-04-05,39
2015-04-12,59
2015-04-19,77
2015-04-26,0
2015-05-03,0
2015-05-10,40
2015-05-17,0
2015-05-24,43
2015-05-31,41
2015-06-07,41
2015-06-14,0
2015-06-21,43
2015-06-28,46
2015-07-05,86
2015-07-12,43
2015-07-19,44
2015-07-26,0
2015-08-02,43
2015-08-09,0
2015-08-16,41
2015-08-23,80
2015-08-30,59
2015-09-06,41
2015-09-13,59
2015-09-20,59
2015-09-27,39
2015-10-04,80
2015-10-11,0
2015-10-18,38
2015-10-25,74
2015-11-01,94
2015-11-08,38
2015-11-15,38
2015-11-22,0
2015-11-29,0
2015-12-06,37
2015-12-13,38
2015-12-20,0
2015-12-27,0
2016-01-03,34
2016-01-10,33
2016-01-17,67
2016-01-24,67
2016-01-31,100
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,31
2016-03-06,62
2016-03-13,0
2016-03-20,0
2016-03-27,49
2016-04-03,0
2016-04-10,48
2016-04-17,0
2016-04-24,32
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,35
2016-06-05,35
2016-06-12,0
2016-06-19,35
2016-06-26,34
2016-07-03,0
2016-07-10,35
2016-07-17,35
2016-07-24,0
2016-07-31,35
2016-08-07,73
2016-08-14,37
2016-08-21,35
2016-08-28,50
2016-09-04,50
2016-09-11,82
2016-09-18,33
2016-09-25,33
2016-10-02,97
2016-10-09,0
2016-10-16,67
2016-10-23,66
2016-10-30,33
2016-11-06,31
2016-11-13,32
2016-11-20,0
2016-11-27,61
2016-12-04,30
2016-12-11,30
2016-12-18,32
2016-12-25,34
2017-01-01,32
2017-01-08,91
2017-01-15,61
2017-01-22,45
2017-01-29,29
2017-02-05,59
2017-02-12,59
2017-02-19,30
2017-02-26,28
2017-03-05,57
2017-03-12,0
2017-03-19,30
2017-03-26,44
2017-04-02,30
2017-04-09,31
2017-04-16,91
2017-04-23,30
2017-04-30,88
2017-05-07,31
2017-05-14,65
2017-05-21,34
2017-05-28,69
2017-06-04,0
2017-06-11,33
2017-06-18,64
2017-06-25,34
2017-07-02,35
2017-07-09,0
2017-07-16,0
2017-07-23,33
2017-07-30,32
2017-08-06,31
2017-08-13,31
2017-08-20,30
2017-08-27,0
2017-09-03,0
2017-09-10,87
2017-09-17,29
2017-09-24,0
2017-10-01,0
2017-10-08,90
2017-10-15,31
2017-10-22,31
2017-10-29,0
2017-11-05,45
2017-11-12,55
2017-11-19,0
2017-11-26,57
2017-12-03,29
