Category: All categories

Week,success: (St. Louis MO)
2012-12-16,33
2012-12-23,24
2012-12-30,35
2013-01-06,58
2013-01-13,38
2013-01-20,57
2013-01-27,66
2013-02-03,58
2013-02-10,63
2013-02-17,35
2013-02-24,52
2013-03-03,56
2013-03-10,66
2013-03-17,63
2013-03-24,53
2013-03-31,100
2013-04-07,63
2013-04-14,62
2013-04-21,50
2013-04-28,49
2013-05-05,79
2013-05-12,59
2013-05-19,39
2013-05-26,41
2013-06-02,52
2013-06-09,47
2013-06-16,52
2013-06-23,34
2013-06-30,42
2013-07-07,39
2013-07-14,43
2013-07-21,46
2013-07-28,40
2013-08-04,43
2013-08-11,49
2013-08-18,51
2013-08-25,57
2013-09-01,56
2013-09-08,74
2013-09-15,75
2013-09-22,64
2013-09-29,72
2013-10-06,67
2013-10-13,66
2013-10-20,70
2013-10-27,65
2013-11-03,67
2013-11-10,80
2013-11-17,66
2013-11-24,60
2013-12-01,51
2013-12-08,48
2013-12-15,39
2013-12-22,23
2013-12-29,40
2014-01-05,49
2014-01-12,86
2014-01-19,46
2014-01-26,54
2014-02-02,59
2014-02-09,59
2014-02-16,59
2014-02-23,79
2014-03-02,49
2014-03-09,54
2014-03-16,49
2014-03-23,55
2014-03-30,55
2014-04-06,58
2014-04-13,51
2014-04-20,73
2014-04-27,65
2014-05-04,69
2014-05-11,51
2014-05-18,52
2014-05-25,57
2014-06-01,62
2014-06-08,44
2014-06-15,38
2014-06-22,39
2014-06-29,42
2014-07-06,50
2014-07-13,52
2014-07-20,72
2014-07-27,56
2014-08-03,53
2014-08-10,56
2014-08-17,60
2014-08-24,56
2014-08-31,54
2014-09-07,65
2014-09-14,57
2014-09-21,53
2014-09-28,44
2014-10-05,52
2014-10-12,51
2014-10-19,48
2014-10-26,70
2014-11-02,50
2014-11-09,62
2014-11-16,56
2014-11-23,40
2014-11-30,76
2014-12-07,51
2014-12-14,44
2014-12-21,42
2014-12-28,35
2015-01-04,56
2015-01-11,73
2015-01-18,61
2015-01-25,63
2015-02-01,38
2015-02-08,62
2015-02-15,68
2015-02-22,56
2015-03-01,73
2015-03-08,56
2015-03-15,59
2015-03-22,72
2015-03-29,62
2015-04-05,63
2015-04-12,84
2015-04-19,55
2015-04-26,45
2015-05-03,54
2015-05-10,54
2015-05-17,50
2015-05-24,36
2015-05-31,51
2015-06-07,51
2015-06-14,51
2015-06-21,42
2015-06-28,39
2015-07-05,50
2015-07-12,56
2015-07-19,44
2015-07-26,46
2015-08-02,32
2015-08-09,53
2015-08-16,41
2015-08-23,60
2015-08-30,62
2015-09-06,65
2015-09-13,55
2015-09-20,85
2015-09-27,67
2015-10-04,91
2015-10-11,49
2015-10-18,57
2015-10-25,53
2015-11-01,55
2015-11-08,59
2015-11-15,70
2015-11-22,42
2015-11-29,67
2015-12-06,62
2015-12-13,59
2015-12-20,38
2015-12-27,41
2016-01-03,51
2016-01-10,56
2016-01-17,61
2016-01-24,57
2016-01-31,68
2016-02-07,55
2016-02-14,57
2016-02-21,66
2016-02-28,67
2016-03-06,68
2016-03-13,55
2016-03-20,48
2016-03-27,50
2016-04-03,65
2016-04-10,70
2016-04-17,56
2016-04-24,64
2016-05-01,55
2016-05-08,46
2016-05-15,49
2016-05-22,40
2016-05-29,52
2016-06-05,49
2016-06-12,39
2016-06-19,45
2016-06-26,43
2016-07-03,37
2016-07-10,31
2016-07-17,37
2016-07-24,47
2016-07-31,35
2016-08-07,55
2016-08-14,43
2016-08-21,68
2016-08-28,46
2016-09-04,40
2016-09-11,62
2016-09-18,66
2016-09-25,50
2016-10-02,41
2016-10-09,58
2016-10-16,59
2016-10-23,46
2016-10-30,45
2016-11-06,57
2016-11-13,65
2016-11-20,33
2016-11-27,61
2016-12-04,64
2016-12-11,48
2016-12-18,33
2016-12-25,32
2017-01-01,45
2017-01-08,48
2017-01-15,55
2017-01-22,58
2017-01-29,61
2017-02-05,56
2017-02-12,51
2017-02-19,50
2017-02-26,53
2017-03-05,55
2017-03-12,58
2017-03-19,48
2017-03-26,55
2017-04-02,62
2017-04-09,43
2017-04-16,63
2017-04-23,40
2017-04-30,47
2017-05-07,45
2017-05-14,49
2017-05-21,36
2017-05-28,45
2017-06-04,38
2017-06-11,39
2017-06-18,37
2017-06-25,37
2017-07-02,27
2017-07-09,33
2017-07-16,44
2017-07-23,56
2017-07-30,39
2017-08-06,35
2017-08-13,46
2017-08-20,50
2017-08-27,53
2017-09-03,59
2017-09-10,49
2017-09-17,47
2017-09-24,56
2017-10-01,56
2017-10-08,42
2017-10-15,46
2017-10-22,54
2017-10-29,61
2017-11-05,60
2017-11-12,59
2017-11-19,37
2017-11-26,44
2017-12-03,59
