Category: All categories

Week,trustworthy: (St. Louis MO)
2012-12-16,22
2012-12-23,0
2012-12-30,23
2013-01-06,0
2013-01-13,0
2013-01-20,21
2013-01-27,41
2013-02-03,0
2013-02-10,27
2013-02-17,0
2013-02-24,15
2013-03-03,16
2013-03-10,0
2013-03-17,17
2013-03-24,28
2013-03-31,18
2013-04-07,33
2013-04-14,67
2013-04-21,0
2013-04-28,17
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,35
2013-06-02,17
2013-06-09,27
2013-06-16,0
2013-06-23,18
2013-06-30,27
2013-07-07,24
2013-07-14,16
2013-07-21,16
2013-07-28,16
2013-08-04,16
2013-08-11,16
2013-08-18,16
2013-08-25,40
2013-09-01,18
2013-09-08,34
2013-09-15,17
2013-09-22,89
2013-09-29,0
2013-10-06,25
2013-10-13,25
2013-10-20,25
2013-10-27,16
2013-11-03,24
2013-11-10,25
2013-11-17,16
2013-11-24,16
2013-12-01,29
2013-12-08,0
2013-12-15,15
2013-12-22,19
2013-12-29,34
2014-01-05,16
2014-01-12,16
2014-01-19,31
2014-01-26,30
2014-02-02,16
2014-02-09,22
2014-02-16,23
2014-02-23,15
2014-03-02,0
2014-03-09,0
2014-03-16,17
2014-03-23,16
2014-03-30,15
2014-04-06,16
2014-04-13,0
2014-04-20,48
2014-04-27,16
2014-05-04,36
2014-05-11,19
2014-05-18,21
2014-05-25,22
2014-06-01,0
2014-06-08,17
2014-06-15,17
2014-06-22,17
2014-06-29,0
2014-07-06,27
2014-07-13,0
2014-07-20,29
2014-07-27,20
2014-08-03,20
2014-08-10,19
2014-08-17,18
2014-08-24,36
2014-08-31,0
2014-09-07,18
2014-09-14,18
2014-09-21,0
2014-09-28,35
2014-10-05,36
2014-10-12,26
2014-10-19,0
2014-10-26,42
2014-11-02,20
2014-11-09,20
2014-11-16,20
2014-11-23,21
2014-11-30,20
2014-12-07,100
2014-12-14,21
2014-12-21,47
2014-12-28,0
2015-01-04,20
2015-01-11,59
2015-01-18,40
2015-01-25,39
2015-02-01,58
2015-02-08,29
2015-02-15,20
2015-02-22,19
2015-03-01,19
2015-03-08,21
2015-03-15,21
2015-03-22,0
2015-03-29,21
2015-04-05,0
2015-04-12,21
2015-04-19,21
2015-04-26,32
2015-05-03,0
2015-05-10,21
2015-05-17,66
2015-05-24,23
2015-05-31,0
2015-06-07,22
2015-06-14,21
2015-06-21,45
2015-06-28,24
2015-07-05,45
2015-07-12,23
2015-07-19,0
2015-07-26,22
2015-08-02,23
2015-08-09,23
2015-08-16,22
2015-08-23,21
2015-08-30,21
2015-09-06,22
2015-09-13,52
2015-09-20,21
2015-09-27,21
2015-10-04,21
2015-10-11,21
2015-10-18,0
2015-10-25,39
2015-11-01,40
2015-11-08,20
2015-11-15,20
2015-11-22,21
2015-11-29,58
2015-12-06,19
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,27
2016-01-10,17
2016-01-17,0
2016-01-24,26
2016-01-31,35
2016-02-07,42
2016-02-14,17
2016-02-21,0
2016-02-28,25
2016-03-06,49
2016-03-13,17
2016-03-20,18
2016-03-27,26
2016-04-03,26
2016-04-10,17
2016-04-17,26
2016-04-24,17
2016-05-01,34
2016-05-08,17
2016-05-15,0
2016-05-22,36
2016-05-29,19
2016-06-05,0
2016-06-12,18
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,18
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,19
2016-08-14,0
2016-08-21,37
2016-08-28,53
2016-09-04,35
2016-09-11,26
2016-09-18,17
2016-09-25,35
2016-10-02,35
2016-10-09,18
2016-10-16,18
2016-10-23,17
2016-10-30,17
2016-11-06,25
2016-11-13,34
2016-11-20,18
2016-11-27,16
2016-12-04,0
2016-12-11,16
2016-12-18,0
2016-12-25,18
2017-01-01,34
2017-01-08,56
2017-01-15,32
2017-01-22,24
2017-01-29,0
2017-02-05,24
2017-02-12,16
2017-02-19,16
2017-02-26,0
2017-03-05,30
2017-03-12,16
2017-03-19,16
2017-03-26,16
2017-04-02,0
2017-04-09,25
2017-04-16,16
2017-04-23,47
2017-04-30,16
2017-05-07,25
2017-05-14,17
2017-05-21,36
2017-05-28,18
2017-06-04,18
2017-06-11,35
2017-06-18,17
2017-06-25,18
2017-07-02,19
2017-07-09,35
2017-07-16,52
2017-07-23,26
2017-07-30,25
2017-08-06,25
2017-08-13,42
2017-08-20,24
2017-08-27,32
2017-09-03,40
2017-09-10,46
2017-09-17,39
2017-09-24,24
2017-10-01,24
2017-10-08,16
2017-10-15,0
2017-10-22,24
2017-10-29,16
2017-11-05,0
2017-11-12,15
2017-11-19,49
2017-11-26,30
2017-12-03,23
