Category: All categories

Week,work: (St. Louis MO)
2012-12-16,58
2012-12-23,55
2012-12-30,66
2013-01-06,73
2013-01-13,65
2013-01-20,66
2013-01-27,67
2013-02-03,64
2013-02-10,63
2013-02-17,64
2013-02-24,65
2013-03-03,63
2013-03-10,66
2013-03-17,65
2013-03-24,62
2013-03-31,62
2013-04-07,64
2013-04-14,61
2013-04-21,63
2013-04-28,59
2013-05-05,63
2013-05-12,63
2013-05-19,59
2013-05-26,64
2013-06-02,65
2013-06-09,63
2013-06-16,64
2013-06-23,64
2013-06-30,60
2013-07-07,63
2013-07-14,65
2013-07-21,65
2013-07-28,59
2013-08-04,65
2013-08-11,65
2013-08-18,69
2013-08-25,68
2013-09-01,67
2013-09-08,65
2013-09-15,70
2013-09-22,64
2013-09-29,72
2013-10-06,66
2013-10-13,64
2013-10-20,67
2013-10-27,69
2013-11-03,65
2013-11-10,69
2013-11-17,63
2013-11-24,62
2013-12-01,63
2013-12-08,66
2013-12-15,62
2013-12-22,66
2013-12-29,63
2014-01-05,71
2014-01-12,75
2014-01-19,68
2014-01-26,71
2014-02-02,65
2014-02-09,69
2014-02-16,69
2014-02-23,70
2014-03-02,69
2014-03-09,69
2014-03-16,68
2014-03-23,73
2014-03-30,71
2014-04-06,69
2014-04-13,71
2014-04-20,69
2014-04-27,69
2014-05-04,68
2014-05-11,70
2014-05-18,66
2014-05-25,70
2014-06-01,68
2014-06-08,64
2014-06-15,68
2014-06-22,69
2014-06-29,67
2014-07-06,68
2014-07-13,67
2014-07-20,71
2014-07-27,68
2014-08-03,68
2014-08-10,61
2014-08-17,72
2014-08-24,63
2014-08-31,68
2014-09-07,74
2014-09-14,69
2014-09-21,71
2014-09-28,68
2014-10-05,68
2014-10-12,74
2014-10-19,74
2014-10-26,68
2014-11-02,71
2014-11-09,71
2014-11-16,70
2014-11-23,61
2014-11-30,70
2014-12-07,67
2014-12-14,76
2014-12-21,64
2014-12-28,65
2015-01-04,70
2015-01-11,76
2015-01-18,75
2015-01-25,81
2015-02-01,73
2015-02-08,68
2015-02-15,70
2015-02-22,79
2015-03-01,82
2015-03-08,75
2015-03-15,71
2015-03-22,79
2015-03-29,80
2015-04-05,73
2015-04-12,75
2015-04-19,73
2015-04-26,69
2015-05-03,72
2015-05-10,76
2015-05-17,72
2015-05-24,74
2015-05-31,73
2015-06-07,74
2015-06-14,67
2015-06-21,74
2015-06-28,72
2015-07-05,73
2015-07-12,74
2015-07-19,72
2015-07-26,75
2015-08-02,76
2015-08-09,75
2015-08-16,77
2015-08-23,78
2015-08-30,78
2015-09-06,76
2015-09-13,83
2015-09-20,78
2015-09-27,75
2015-10-04,75
2015-10-11,77
2015-10-18,78
2015-10-25,75
2015-11-01,78
2015-11-08,78
2015-11-15,73
2015-11-22,68
2015-11-29,81
2015-12-06,79
2015-12-13,76
2015-12-20,68
2015-12-27,68
2016-01-03,79
2016-01-10,75
2016-01-17,77
2016-01-24,83
2016-01-31,85
2016-02-07,78
2016-02-14,88
2016-02-21,92
2016-02-28,84
2016-03-06,80
2016-03-13,80
2016-03-20,83
2016-03-27,80
2016-04-03,78
2016-04-10,81
2016-04-17,78
2016-04-24,79
2016-05-01,77
2016-05-08,77
2016-05-15,75
2016-05-22,80
2016-05-29,71
2016-06-05,79
2016-06-12,72
2016-06-19,79
2016-06-26,71
2016-07-03,72
2016-07-10,79
2016-07-17,78
2016-07-24,73
2016-07-31,70
2016-08-07,67
2016-08-14,70
2016-08-21,77
2016-08-28,76
2016-09-04,68
2016-09-11,75
2016-09-18,78
2016-09-25,76
2016-10-02,75
2016-10-09,71
2016-10-16,75
2016-10-23,78
2016-10-30,73
2016-11-06,100
2016-11-13,85
2016-11-20,72
2016-11-27,83
2016-12-04,77
2016-12-11,79
2016-12-18,62
2016-12-25,72
2017-01-01,82
2017-01-08,88
2017-01-15,88
2017-01-22,94
2017-01-29,85
2017-02-05,87
2017-02-12,79
2017-02-19,78
2017-02-26,75
2017-03-05,79
2017-03-12,77
2017-03-19,75
2017-03-26,81
2017-04-02,76
2017-04-09,74
2017-04-16,75
2017-04-23,78
2017-04-30,76
2017-05-07,73
2017-05-14,74
2017-05-21,71
2017-05-28,71
2017-06-04,70
2017-06-11,73
2017-06-18,79
2017-06-25,74
2017-07-02,70
2017-07-09,75
2017-07-16,82
2017-07-23,75
2017-07-30,77
2017-08-06,76
2017-08-13,80
2017-08-20,78
2017-08-27,74
2017-09-03,72
2017-09-10,68
2017-09-17,74
2017-09-24,77
2017-10-01,78
2017-10-08,81
2017-10-15,78
2017-10-22,80
2017-10-29,78
2017-11-05,80
2017-11-12,77
2017-11-19,69
2017-11-26,79
2017-12-03,82
